x,y,z,s1,s2,s3,s4,s5,s6
8.01579,3.62721,6.05015,40.32,46.08,28.8,-252.0,48.96,53.28
7.81467,2.57137,4.80995,-1.1808,4.1472,-11.6208,-608.961,3.84479,9.99359
7.59201,1.84832,0.687136,-6.17817,0.373248,-4.06454,-274.908,-2.20436,2.61144
8.7101,1.7765,-1.10133,-4.06406,-1.40641,-4.42255,-194.972,41.4495,1.37632
11.2336,-0.0670376,-0.756567,-7.75831,-1.73937,-2.99064,-196.778,-8.99647,-0.224105
11.0301,1.41737,0.632069,0.229812,0.190784,0.202864,-232.973,-12.2011,-0.11868
9.12909,1.19949,4.56095,-4.67977,1.62735,-1.19045,-34.2721,-2.12948,-4.37895
10.4435,3.43807,0.435745,0.458002,-4.52215,-0.397012,-40.2325,0.742974,0.575835
10.1442,3.64876,0.502782,-0.0607805,1.0206,-3.66257,21.4486,-3.19037,0.829503
9.87608,3.14598,2.72699,0.549352,0.488974,-2.71158,4.0048,1.22723,0.455721
9.52892,3.58173,1.87705,-0.513894,-4.98862,-1.1808,71.5768,636.799,0.227726
9.67257,3.57694,0.658405,-3.20228,3.37785,-0.0324821,6.23081,334.226,3.82718
9.30386,0.493205,1.81002,1.88054,1.34394,1.17083,36.6013,-8.9759,1.07213
9.19852,1.75495,-1.2785,0.0943296,-0.204665,1.81812,21.6164,-42.6974,0.755446
10.1466,0.342371,-1.03429,1.10937,-2.52516,-1.27232,-88.307,-126.364,-5.90191
9.95509,0.914585,1.22823,2.38168,2.56203,-2.86293,-71.7409,-387.315,-1.78602
9.88805,3.28724,1.57778,5.11964,-0.375467,-3.64919,-3.0114,152.147,5.81956
9.62947,2.9712,2.48279,-0.548429,2.01644,1.12013,-38.4997,160.824,0.876522
9.67496,1.35272,0.435745,-1.07666,0.350902,-0.931797,88.4094,206.851,-0.655472
10.6326,0.720654,-0.711078,-0.600282,-1.93021,5.17015,-78.5111,-25.3875,-1.85881
9.85214,1.9393,1.08218,-0.603083,2.34981,-0.301022,-117.504,55.5979,0.390801
10.0485,2.87304,2.17154,0.814285,1.75041,-2.44739,11.6732,-118.525,1.74864
9.82101,2.17633,1.03429,2.24128,0.681216,-2.45742,32.9043,41.7718,1.83217
10.3789,0.890643,-0.675165,-1.31357,-0.517302,-1.01497,45.2674,207.122,-0.987257
10.0532,1.39103,0.905008,-2.60311,1.94513,0.959694,-77.4936,7.81177,-2.09339
9.86171,2.28886,1.68073,-0.919072,-0.28901,-1.67382,-52.7458,7.13276,-13.8282
10.0413,1.41737,0.701501,-2.16066,-1.6934,-2.82754,88.8745,31.9588,2.84313
10.398,1.18752,0.229843,-0.0750614,-1.57422,-1.26376,-72.0979,134.271,8.62365
10.1035,2.08056,1.10612,2.32695,1.73923,-2.04828,-59.7041,1.25675,0.325925
9.95509,1.55623,1.39821,2.26015,-4.37943,-2.03948,16.6183,-43.8421,1.24874
10.3765,1.18513,-0.0335188,0.977867,3.67603,1.18263,-15.1028,68.1304,-0.125312
10.2951,1.403,0.708683,-1.27491,-4.26997,2.82067,-13.1645,-291.608,-0.732554
9.91439,1.27372,1.24977,2.39983,2.21412,-1.90097,-6.59499,-213.364,-0.419345
10.1299,1.60411,0.55306,1.44812,1.77489,1.95545,50.3954,-0.227654,-1.34852
10.0916,1.17555,0.881066,-2.67872,-0.205812,0.382795,-1.92939,-136.119,0.676347
10.0269,1.72143,0.821211,0.0528863,0.939961,-1.00182,7.47293,-53.6816,2.79895
9.94551,1.02951,0.888249,1.28641,-0.280959,1.14446,23.3697,-251.385,0.455962
10.3382,1.33836,0.957681,0.74378,-0.204395,-1.63923,-34.4391,-184.476,0.14102
10.2639,1.59693,1.11091,-0.762937,-0.408567,1.57637,-65.7748,-112.888,3.24409
10.2951,1.18274,1.26653,-0.777699,-4.24554,1.28899,-6.13151,-58.2466,-4.64783
10.3501,1.35272,1.03669,-1.55503,2.10599,-3.33951,-49.0828,-24.4847,-2.30602
10.422,1.42455,1.03669,-0.565222,5.49831,-3.73615,13.7496,-12.1653,-0.297315
10.2065,0.969651,0.993593,0.0431508,1.12334,1.69551,12.4144,-9.38887,0.231649
10.4794,1.25935,1.13964,-1.99484,-1.03093,2.89055,32.2549,-1.19386,-0.154929
10.0916,0.916979,0.90022,-0.02131,1.09492,-0.068653,-1.55325,-1.94878,-1.84248
10.24,0.438139,0.876277,5.23081,-1.59469,-1.30489,2.75983,14.4599,0.680591
10.1466,1.34794,1.16358,-0.0755894,1.30201,-0.221002,26.4948,-1.46329,6.236
10.0892,0.507571,0.988805,0.863078,-3.49453,-3.25304,-25.5356,7.7584,-3.16672
10.2208,0.943315,0.962469,-5.25608,-0.111441,2.14058,-15.7198,-2.79398,-3.32131
10.1538,0.758962,0.821211,-0.508989,0.391887,1.385,12.543,-1.96266,-1.2539
10.0604,0.828393,0.804451,-0.0634247,0.232209,-0.126304,-2.947,-1.31754,1.6944
10.0772,0.83797,0.76375,-0.316737,1.55739,-2.40953,-44.1376,-2.95282,-1.00675
10.0102,0.675165,0.790086,-1.62092,-0.244561,-2.60156,42.4405,0.923075,-2.70345
10.1945,0.756567,0.871489,-0.926154,1.53188,2.31255,27.4692,3.84801,0.98201
9.92157,0.471658,0.715866,-1.37289,-0.540722,1.75841,28.835,-0.386465,-0.98161
10.3238,0.921767,0.737414,5.53736,-0.683574,1.2203,10.2712,-1.53145,-0.612654
9.97185,0.931344,0.754173,-0.140573,-0.37262,1.23502,-81.2535,1.70639,5.14555
10.3286,0.90022,0.835576,4.29667,-1.92838,-2.2175,25.9607,1.96444,-0.0989553
10.3166,1.01754,0.701501,0.223069,-0.497232,1.84178,-4.3994,0.761724,-3.76911
10.3166,0.802057,0.59855,-0.0601074,0.329458,-1.48357,-26.7653,-0.480021,-4.22653
10.4842,1.33596,0.656011,3.13769,1.65301,0.195907,21.3613,2.33759,0.825232
10.3477,1.20907,0.670376,-4.47029,-4.81579,1.31665,-27.6429,-3.24544,-0.774972
10.3094,1.85551,0.366313,1.28647,1.68434,1.35981,14.8779,2.33458,-1.92587
10.1347,0.991199,0.744596,-1.33192,0.958899,-1.54457,23.0387,0.0571696,-1.15484
10.5776,1.35512,0.363919,-1.43405,2.22429,0.484178,-31.1273,-2.34499,-2.25527
10.0365,1.89142,0.442927,-1.07541,1.55019,0.651334,6.5766,-4.84742,2.15567
10.2903,1.27372,1.25696,0.577114,-0.638974,-0.78117,24.9726,1.53991,0.816936
10.5105,1.27611,0.742202,1.51974,-1.04377,-1.08661,-66.2298,1.10693,1.21396
10.3956,1.21865,0.328006,-1.7216,0.862809,5.16422,3.94458,0.876512,-0.771925
10.2568,1.35272,1.11091,1.51205,1.15125,1.07036,-5.00099,2.20194,3.51636
10.4627,1.20907,0.802057,-1.92709,-0.50793,-0.744534,18.9863,-1.03671,1.54073
10.4842,1.06781,0.814028,-0.651582,-0.345357,0.125773,23.271,1.87919,-0.773438
10.489,1.42455,0.931344,0.0094609,-0.177909,-4.21422,-19.9562,0.300459,-2.25895
10.4172,1.73101,0.715866,0.0342226,-0.0879667,-0.7794,2.01517,-0.210996,-11.8889
10.4842,1.76931,0.758962,-4.81896,1.39682,-1.85019,-0.341562,2.74436,2.30486
10.2472,1.55384,1.13006,-3.93412,1.41884,-0.736341,-40.9094,-2.71898,0.651518
10.2927,1.80762,0.823605,-6.90766,-0.376266,-1.78549,24.6572,-3.44042,1.11144
10.2232,1.73819,0.677559,0.184652,-0.58321,-3.04791,-14.1491,-1.34275,5.2383
10.1634,1.59454,0.986411,-2.77068,-4.64167,1.11895,-2.00747,1.11532,-2.7708
10.2951,1.64482,0.715866,-3.35754,5.36875,-2.09659,33.8756,1.54131,-0.398077
10.2065,1.42694,0.926556,-0.385179,1.34578,-2.40296,-28.95,3.72476,-0.108699
10.1155,2.05422,1.13725,-1.21294,-0.593823,4.15633,-25.6865,9.59479,-0.880687
10.2759,2.16915,0.603339,0.753482,0.431445,4.86384,-31.7943,177.668,-0.808392
10.0245,1.86029,0.964863,3.06811,2.01881,-2.21506,-22.2039,173.875,-0.502037
10.137,1.98479,0.538695,-3.71133,-0.82091,-3.24164,34.0279,93.1422,0.277267
10.2663,1.35991,0.849941,-4.33266,0.874842,1.39994,-46.2014,101.334,-0.954638
10.1873,1.70707,0.713472,1.36592,-4.914,0.119718,25.3137,48.9636,-2.30832
10.1538,1.62327,0.921767,-1.5943,0.826503,-1.4323,4.59461,81.2997,-0.159127
