x,y,z,s1,s2,s3,s4,s5,s6
10.4674,-4.09169,1.95846,80.64,41.76,73.44,41.76,43.2,51.84
10.6398,-1.74777,-1.05345,-18.9072,4.32,-8.29439,5.05439,4.4928,4.9104
8.19056,-3.60806,-1.04866,-11.9304,0.663986,-10.9295,-1.48766,-2.71209,2.5347
9.84256,-5.3271,1.56341,68.8662,1.1018,-4.8357,2.32706,-1.46875,-4.20403
9.75876,-0.634463,0.215478,-24.1155,-1.66544,-2.02032,0.277695,-3.38187,0.560285
9.2081,-4.42927,0.318429,35.968,1.86546,-3.60812,0.0584386,-1.89671,4.22555
9.58398,-1.71185,0.0047884,-34.9262,1.45781,-3.14122,0.0216474,3.06664,-1.28909
9.52652,-4.12521,-0.0311246,16.6046,1.59845,0.310012,2.88999,0.119895,-1.53882
10.0796,-2.14281,0.107739,11.5309,-6.03477,0.548734,-0.902359,0.539099,-5.45806
9.82819,-3.47159,0.371101,29.4564,-0.460273,0.909394,-6.10842,4.0226,1.45259
9.81383,-3.03106,0.337582,-7.84614,2.57678,4.82325,-3.57508,-2.54347,2.8256
9.82341,-2.79882,0.0909796,-39.4882,0.377232,-4.67302,-1.27137,2.36499,-3.58041
9.94312,-3.02388,0.325611,-18.3811,0.709961,-0.647858,1.09065,3.52867,1.51395
9.95748,-3.07655,0.294487,-38.166,0.395137,0.967921,0.0838545,-4.04806,1.03598
10.0221,-3.22259,0.220267,-20.8649,-2.68213,2.33237,1.74294,-3.10829,-0.603483
9.89284,-3.00472,0.083797,-10.1161,2.14214,-0.360316,5.6296,4.1357,-0.395704
9.90242,-3.3854,0.234632,-6.08481,-2.35448,-3.19184,-1.66449,1.70058,1.2371
10.149,-3.15316,0.0646434,-0.807864,4.60233,1.87983,-0.306467,1.94156,-0.402632
10.0197,-3.26569,0.0071826,-3.08022,0.497986,0.0934563,2.47324,-5.01128,2.05912
10.0389,-3.5937,-0.100556,-3.49331,-1.88693,-1.77109,1.7504,-3.06417,0.376845
10.1203,-3.22259,0.227449,-1.89028,-3.16117,-1.93855,0.0709569,-1.02342,-1.91703
10.1011,-3.43807,0.548272,0.19529,1.66253,-0.211057,-0.568829,-3.33846,1.1467
9.81622,-3.22978,0.287304,1.03183,1.70847,1.63348,-0.937848,-0.451172,-0.387976
10.1538,-3.25372,0.632069,-2.59255,-4.00719,1.86392,1.22352,3.29835,0.026795
9.78749,-3.35188,0.263362,-1.85159,1.01327,1.61384,0.751012,-0.947064,-0.269738
10.1179,-3.54342,0.26815,-0.124384,1.06682,-0.283772,0.684026,-0.694753,-3.34004
10.2089,-3.39977,0.246603,0.00951742,-0.261122,-1.97816,-3.65399,2.82121,2.62507
10.0197,-3.29681,-0.217872,2.89101,1.5439,0.909981,0.125713,2.57414,-0.000570327
10.2137,-3.62721,-0.308852,2.28116,2.34697,2.05502,-0.0683405,1.36859,-1.55608
10.3238,-3.53384,0.141258,-0.777219,-1.28445,0.316579,-4.96997,-1.59494,4.55509
10.3477,-4.19943,0.0311246,1.42142,0.591525,-0.209409,1.13803,1.28978,-1.00462
9.42836,-4.2114,-0.387861,-2.32371,-0.205069,1.30458,2.31923,1.72561,0.0516304
8.84418,-4.97994,-0.758962,-0.272831,1.59737,-1.5093,-2.11783,1.24637,0.679051
8.66701,-5.09486,-0.593762,-1.49577,-0.806872,-0.630535,4.42938,-3.90361,1.52917
8.72207,-6.4404,-0.679953,1.72209,-3.41845,1.14085,0.992036,-0.648659,-1.72061
