x,y,z,s1,s2,s3,s4,s5,s6
10.3501,2.806,0.773327,73.44,36.0,41.76,319.68,47.52,47.52
8.6263,-1.57299,0.514753,38.7792,-8.424,-0.244796,4.23359,6.55199,3.0096
9.21767,-2.7246,-0.667982,44.4244,-8.89272,-1.2204,-68.1624,4.35413,-2.39487
9.3326,-2.26252,-0.847547,7.98561,-3.64868,-2.66983,-21.4329,-1.17635,2.19346
9.93833,-2.70066,1.01275,41.9413,-2.86166,1.08291,31.9461,2.0057,-1.50219
9.79707,-2.43011,0.64404,18.5738,-2.03166,-0.694169,-15.8637,-3.94001,1.30721
10.1299,-2.70784,-1.26414,-29.496,-1.95936,1.59442,24.483,1.34153,-2.89078
9.96706,-2.89219,0.177171,5.87641,-0.21164,-3.06222,9.28376,0.419045,2.8161
9.9072,-2.83234,0.452504,13.2627,4.28365,-1.3136,15.2921,-0.953713,3.50322
10.0676,-2.89698,-0.76375,-44.3348,-2.35895,-1.76445,9.82799,2.84116,0.539675
10.0796,-2.71024,0.184353,-30.907,2.4605,-0.432647,-19.6125,-0.585261,0.763324
9.72524,-3.28963,0.325611,-15.3661,-0.744072,-0.777916,0.474525,-1.06955,-1.32347
9.8665,-2.90177,-0.536301,-36.8821,0.899925,-3.31212,6.82815,-1.19933,-1.10367
9.94791,-2.88741,0.0502782,-18.3668,-0.28043,1.82849,-17.3582,0.186764,-2.62657
9.93114,-2.90895,-0.0742202,-24.5638,-0.202337,0.299381,11.1591,-0.141196,1.70766
10.0963,-3.35428,-0.339977,-11.1619,0.802204,-1.64939,-21.7206,1.04747,0.80388
10.1227,-3.36146,-0.208295,-7.66581,-0.130598,-0.134657,4.04593,-2.56864,-2.79146
10.0437,-3.55299,-0.304064,-5.09153,-1.24872,-1.14295,1.64849,-0.0959964,-3.39689
10.07,-3.37582,-0.462081,-2.01023,0.116704,0.783026,6.39371,1.8,2.17051
10.0652,-3.0957,0.237026,2.241,-3.05965,1.10935,1.36048,-4.10696,1.40869
9.72285,-3.03585,-0.0383072,-2.02436,16.0331,1.5161,-24.4337,2.69377,3.90372
9.82101,-2.73418,0.299275,1.90944,19.0533,-1.74719,6.61967,-3.10929,0.229234
9.90481,-3.10049,-0.0766144,1.49915,14.3614,1.49737,12.7937,4.06821,0.565606
9.83538,-3.1364,-0.3304,4.5725,23.9342,3.29273,-3.18195,-5.00571,-5.44206
9.68454,-2.87304,-0.857124,0.310743,16.2005,-2.17385,8.11663,-0.202721,-1.51094
