x,y,z,s1,s2,s3,s4,s5,s6
11.157,-2.77248,-0.711078,84.96,40.32,73.44,-1645.92,46.08,36.0
10.8266,-9.19613,-0.984017,-16.0848,4.1904,-12.7584,-1313.44,5.73119,5.51519
5.93044,-4.40533,-1.64242,-14.9623,0.652319,-12.381,-693.183,-3.02803,-5.89117
6.3183,1.7334,-3.61046,-10.0136,-4.12644,-5.48071,-364.601,-1.17381,-2.29211
10.5273,-6.82108,3.97677,114.977,-0.146917,-1.79762,-223.062,3.16793,0.975175
11.564,-1.88902,1.67115,30.6097,-1.04083,-2.24092,-7.77399,0.146763,1.27149
9.92636,-1.00317,-0.548272,-55.4288,-0.597202,-1.22045,-128.376,-2.93458,2.13447
9.21049,-3.72298,-2.31519,-31.4538,3.71712,1.43576,-64.6687,2.30906,2.08911
9.67257,-0.751779,-0.972046,-16.4036,-1.83534,-3.73584,17.0847,-1.64172,1.72236
9.69891,-4.2521,2.85149,69.9354,-1.83322,-1.3949,9.60738,3.26597,1.20923
10.1873,-1.4461,-1.07978,-31.5636,-1.58713,-0.341894,-9.98427,-2.88614,0.092606
10.1634,-1.93691,-0.493205,-28.2743,2.57311,2.44081,-50.2786,1.59481,0.000382185
9.54329,-2.59531,1.47004,35.0905,0.122397,-1.75164,-60.6461,-3.80053,-0.306274
10.8409,-2.77488,-0.770933,-29.9382,-3.75768,1.454,36.4937,4.55096,-0.480048
9.8665,-3.05021,-0.095768,-18.3789,1.83275,1.52537,-50.4343,-1.44084,1.70788
9.98861,-1.92733,-0.0023942,-2.13947,-3.62409,5.443,15.7516,0.403611,-0.658671
9.96706,-2.91853,-0.885855,-3.00798,1.5324,3.69446,-27.4479,3.78244,-0.457328
9.96945,-2.31519,-0.620098,-3.09028,2.18621,0.232357,18.6943,-3.28159,4.08377
9.66539,-2.63601,-0.0981622,-1.05491,-1.67957,3.75904,-12.6572,1.94747,-1.02403
9.80186,-2.35111,-0.847547,-2.75077,-1.07057,-3.8204,-41.948,0.669452,1.80356
10.1203,-2.03507,-0.423774,1.33108,2.03074,-0.408802,8.91631,0.604794,1.46562
10.1969,-2.35829,-0.169988,-3.72907,-3.09496,-3.25103,-15.4283,-3.99874,-1.50467
9.80904,-3.46201,-0.605733,0.356037,1.52817,0.105231,8.57203,-0.603544,-1.23974
9.95748,-3.6751,-0.998382,5.52615,-0.417175,-6.99559,3.44898,4.44869,0.4849
9.95748,-3.64876,-0.71826,-1.05852,-2.35416,-1.25409,5.19357,-1.41074,1.17112
9.77792,-3.41413,-0.253785,-2.60005,-3.39181,6.78113,-72.4518,3.00318,-0.479738
10.094,-3.85706,-0.366313,0.813845,2.98938,-1.39724,-3.14071,0.666457,-2.60509
10.0245,-3.21302,0.071826,-0.550905,1.04821,-3.68704,12.0727,1.46371,0.180611
9.92636,-3.22259,-0.533907,2.82698,-1.49668,-0.406463,4.28943,3.46916,-2.96277
10.0197,-3.49793,-0.6608,0.223952,-1.82149,1.06444,-51.2525,-0.0252476,1.68643
9.66539,-3.61046,-0.368707,-1.13238,0.449527,3.2129,-22.7588,-1.91002,1.10879
9.5361,-4.7501,-0.677559,-0.364253,-1.09894,-0.458657,-18.6295,-2.5467,0.568726
9.25598,-4.49392,-0.095768,0.443464,-1.26201,-1.01251,-17.6638,3.45995,0.583363
9.00219,-4.77164,-0.825999,-0.864328,2.1965,-1.40224,13.6165,-0.760933,-1.73152
8.75559,-4.9943,-0.881066,1.45194,-1.55037,0.973754,31.4717,1.14848,0.10758
7.87453,-6.94797,-0.59855,37.1826,1.88391,3.50662,-52.9933,-1.27312,0.138766
8.45871,-7.18979,-1.30245,23.9067,-4.59896,2.59569,22.1784,3.53095,-1.36427
