x,y,z,s1,s2,s3,s4,s5,s6
11.485,7.57765,0.397437,54.72,43.2,37.44,-594.72,371.52,103.68
9.20331,-6.80432,0.845153,55.6704,16.4592,-2.95199,145.858,32.328,-0.676794
13.5727,4.50589,-1.93212,14.6837,-10.2436,-7.68326,-241.774,5.5486,-7.54243
9.07881,-3.9241,0.304064,-15.2937,3.11047,-1.21571,-138.482,-2.75787,2.85524
8.65025,-1.18513,1.58736,-2.17392,6.34541,1.07371,-113.592,-1.31146,-3.69936
10.003,-2.09493,-0.31364,-12.4808,1.49837,-0.461231,-181.816,3.37858,-2.27155
9.7013,-3.07655,-0.0311246,-1.6854,3.69963,1.72993,8.89519,2.9246,-0.319144
10.5273,-2.04704,0.656011,-6.11513,2.9149,0.188507,-8.86904,-4.21272,3.09745
9.50258,-3.16274,0.0502782,-4.75404,14.1851,2.30824,-47.2243,-1.43475,-0.766995
10.1586,-2.23858,-0.493205,-22.5757,19.3884,-1.54953,-11.6629,-0.343969,-0.279051
9.83059,-3.03345,0.0311246,-15.3754,4.0965,-1.30292,-23.6899,2.74377,0.77918
9.90242,-2.89938,0.205901,-8.75736,24.4889,3.93504,-42.9906,1.90896,-3.85575
10.1394,-3.11486,0.035913,-5.53882,19.0197,0.597383,26.3806,0.150988,3.18687
10.1179,-3.22499,-0.158017,-1.99111,19.8731,-0.662257,-73.9842,-1.13422,1.18324
10.0102,-2.85149,-0.31364,0.227016,26.2972,1.02955,-0.240549,0.775494,0.545743
9.97663,-2.85149,-0.349553,1.05467,21.648,-0.51125,33.6079,3.68221,0.264357
10.0461,-3.08852,-0.186748,-5.4607,11.3961,0.262868,-73.42,-0.17371,3.31164
9.92636,-2.99754,-0.208295,2.47429,9.9751,-1.86978,53.1343,2.91926,-1.20131
10.0437,-2.93529,-0.129287,-2.87449,26.6526,-3.97607,-28.7139,3.21283,0.597208
9.9096,-2.87065,-0.248997,-2.07872,11.9802,-2.29566,-77.9365,1.20191,1.00413
10.0532,-3.16753,0.126893,0.663503,14.6435,-0.0185469,26.9687,-2.02218,-2.55431
10.1299,-3.23457,-0.0311246,0.174104,28.1969,0.92569,-82.7147,1.35173,2.18941
10.4435,-3.43807,0.0766144,1.20932,18.8908,-8.00148,20.8634,-3.14442,1.7569
10.2328,-3.51229,-0.177171,-2.18627,31.0828,-8.09448,38.8892,-0.745784,0.922455
10.173,-3.29921,-0.110133,4.13622,25.979,-3.20433,-17.9212,-0.596273,3.94234
10.058,-3.05739,-0.0047884,0.522632,11.6522,-1.80395,8.05074,-0.615355,1.10829
10.4315,-3.1795,-0.0670376,-0.714486,-30.157,-0.300181,20.8533,2.54939,-2.10865
10.2975,-3.16274,-0.258574,-0.739847,-15.6433,-1.53455,17.6727,-2.81421,-0.134301
10.4076,-3.06697,0.095768,-3.2776,-8.11759,3.1408,-24.1495,0.530538,1.75752
10.0676,-2.82755,-0.169988,-0.428378,-47.5207,-0.990658,-61.2261,-2.1458,1.32769
10.1035,-3.22738,-0.227449,1.03368,-60.54,7.9269,52.2995,-2.17514,-1.58264
9.80186,-3.34709,-0.150835,-0.288774,-53.9263,0.393293,10.8001,-1.77177,0.161096
10.0221,-3.27527,0.0287304,-0.817878,-44.2171,1.08814,-12.9047,1.64591,-0.67196
9.89045,-2.85389,-0.320823,1.28077,-38.0421,1.52097,11.3781,-3.58965,-0.699258
9.96227,-3.34949,-0.543483,1.38371,-24.6649,-0.303426,18.5445,4.44063,-0.980716
9.8258,-3.11246,-0.35913,0.141276,-9.81997,0.0593409,14.0412,-1.81655,-0.53796
9.99579,-3.49074,-0.706289,0.323316,-22.1903,0.350206,-14.6483,-0.716609,-2.01118
10.0221,-3.18908,-0.490811,0.786088,-14.1797,2.24529,-65.1888,-1.24273,1.43483
9.70848,-3.6751,-0.466869,1.34888,-5.80562,-4.47317,36.6076,-5.31159,0.0857052
9.74919,-3.2609,-0.61531,1.65488,-0.999547,1.62654,24.0209,1.22209,-0.618349
10.0054,-3.65834,-0.40462,1.20275,-1.46131,0.0030666,2.75612,0.943061,-2.63764
9.58398,-3.23935,-0.584185,0.927015,2.37892,-1.20756,2.656,-1.17733,-2.10736
9.72285,-3.32794,-0.292093,0.484626,0.911423,-0.0957212,-12.0739,-1.02683,2.60926
9.98861,-3.24414,-0.0981622,-3.7774,-3.59388,0.530537,20.096,0.896358,2.51348
10.0197,-3.33512,-0.253785,-2.21226,0.150556,2.88953,10.3593,1.70277,-1.23484
9.93833,-3.16035,-0.438139,2.59867,-0.0565849,-0.320259,-92.1209,3.22328,-1.73426
9.99818,-3.00472,-0.55306,1.30239,1.40054,-0.313188,11.6474,-1.61839,0.186196
9.96227,-2.98796,-0.0526724,0.10798,-0.0923973,-1.37711,10.4436,-2.52082,1.92687
10.2113,-3.63679,-0.232238,0.537997,10.7998,0.352682,-54.6339,0.884498,-6.09064
10.082,-2.80122,-0.502782,-1.73752,12.6328,2.00768,33.2564,-0.211017,-0.809548
10.0916,-3.28006,-0.481234,0.710907,-1.78925,0.0113052,34.7301,0.673804,0.101483
9.93114,-2.9712,-0.469263,-0.0438509,-6.28927,1.05562,-17.3375,0.702506,0.396947
10.1442,-3.11246,-0.4956,0.245624,-2.73367,-1.66344,38.7262,0.680133,1.06098
10.1969,-3.13161,-0.52433,-3.03801,5.51741,-2.45135,-240.309,-1.6813,3.78027
9.77073,-2.99993,-0.486023,1.94233,45.383,3.80677,49.8283,0.132447,2.44816
9.84735,-3.25851,-0.189142,0.425325,75.2548,-1.39916,27.33,3.63577,-1.32439
10.0293,-3.21541,-0.129287,0.765825,60.8128,-1.28179,58.1068,-3.35469,-4.36091
9.83298,-1.23301,-0.969651,-1.01457,56.0439,-3.56174,45.8311,0.169133,-0.195699
10.0676,-3.43807,0.500388,0.515379,114.236,1.70592,38.5491,0.548447,1.21638
10.0868,-3.14359,-0.543483,1.78365,11.1679,-3.47589,-61.1378,-1.43176,2.75893
10.2448,-3.51469,-0.797269,-0.428208,-78.9411,-2.39365,6.68797,-1.157,-0.426271
10.3669,-3.55778,0.160411,-2.67422,-39.3808,0.435367,10.5928,1.13448,-0.671283
10.1442,-2.99754,0.454898,-0.0921666,14.4516,1.79808,3.24253,-0.730981,1.06943
10.4507,-3.62482,-0.208295,-1.37552,-19.1421,1.02368,12.0983,-2.2164,-1.3229
10.1634,-3.12204,0.296881,-3.44334,3.56744,-2.36556,-1.83801,-3.60048,-0.512042
10.1035,-3.39737,-0.129287,0.338726,-7.02272,-0.279566,-65.7372,1.11987,2.33892
9.92875,-3.49793,-0.208295,1.78831,-11.8049,2.82217,-57.1121,-0.934092,0.846373
10.4411,-2.23139,0.0550666,0.187082,-21.6139,5.73879,-13.4356,2.59123,1.52535
9.73482,-3.68228,0.430956,0.029649,-6.11148,-1.34636,-7.67881,-1.63829,-1.73023
10.0868,-3.07176,-0.277727,-2.33826,-45.4171,-1.63878,46.1788,2.95313,-3.95082
10.2735,-3.10767,0.0287304,-3.0999,-32.1204,0.548888,-55.7208,-3.97494,1.50004
9.87129,-2.72221,0.452504,-1.16203,-17.9085,2.13302,34.8805,-0.160487,-2.13816
10.5584,-2.65996,0.500388,2.34273,-28.0648,-1.36466,29.5712,1.8966,0.133727
9.47146,-2.74375,-1.04866,1.41003,-18.8142,-0.583158,-73.3932,2.54712,4.18945
8.7101,-2.3104,-0.622492,2.1545,-13.9946,-7.30525,45.6238,0.25608,3.0288
