time_step,x,y,z,s1,s2,s3,s4,s5,s6
0,9.63187,3.29442,-0.146046,33.7553,-1.13336,19.8163,-39.2012,-3.09961,-5.13334
1,10.3932,0.995988,-1.76453,22.7147,-1.14196,5.99525,222.231,3.48401,0.691822
1,7.53455,6.13634,0.258574,-18.6261,3.40525,-3.45906,-173.39,3.59742,-2.55476
1,6.40449,-13.5488,6.84263,101.048,-4.5698,0.911758,-84.1586,-3.82714,-1.28188
1,11.8776,-5.70299,-5.18584,-33.3212,-2.26785,-1.82423,63.6089,-0.938388,3.38678
1,10.0125,-1.71185,-3.38061,-35.4177,-2.25143,-6.25346,35.1037,-3.55789,-0.556734
1,10.0125,-2.99036,-2.08774,-19.6776,2.20699,-1.87616,-20.2594,-0.654194,0.362939
1,9.44991,-3.24175,2.26013,-8.10869,-1.80306,0.0228055,-60.0409,2.65748,0.235058
1,9.95269,-2.61207,2.11647,-0.652853,1.73689,0.39836,-40.4967,-1.30982,-2.75968
1,10.6135,-1.81241,-2.1476,-2.29627,2.52692,-1.20995,27.6877,1.39831,-1.61098
1,10.5919,-3.92888,-0.806846,3.62176,3.1314,-3.90174,-7.38403,-3.98401,2.06733
1,9.81383,-1.62806,1.13725,-3.78851,-0.268014,5.22075,3.35224,3.3876,-3.0499
1,9.95988,-3.14359,-0.0502782,0.522941,-2.87115,-1.0479,-17.4293,-1.87709,-0.722509
2,10.1969,-2.31759,-1.43891,1.07518,1.83135,1.43718,0.427988,-2.4477,0.0178384
2,10.1083,-2.88262,-0.311246,-0.537063,-1.0864,-2.53301,23.8985,-1.63929,2.01502
2,10.1706,-2.59292,0.0191536,-0.358907,-0.408471,-1.30213,-8.07457,2.56996,-0.272088
2,10.1394,-2.99754,-0.639252,-1.32209,-0.793808,0.191677,2.45642,-4.19713,-3.96186
2,10.2855,-3.04064,-0.579397,-1.35578,2.13521,-0.969008,3.59522,-2.85007,4.30931
2,9.97424,-2.49955,-0.177171,1.84955,-1.90897,-0.570477,-14.0215,0.202446,-2.17868
2,10.1969,-2.97839,-0.361524,0.527735,0.771442,2.89425,1.9474,2.51831,-0.920878
2,10.2568,-2.82516,-0.68953,-1.82028,-0.0731818,0.868627,16.2198,-0.521104,-1.04282
2,10.3334,-2.6408,-0.150835,-1.07904,0.52833,1.51376,-4.09917,-0.413303,-1.16903
2,10.0149,-2.69587,0.191536,3.77443,-1.13035,0.839677,12.2864,0.0856663,0.505549
2,10.3693,-2.7677,-0.0909796,-4.35844,1.0635,3.30025,-1.72194,-3.71928,-0.260025
2,10.5369,-3.15556,-0.126893,-0.419151,1.27149,-2.67328,-0.100551,0.719032,0.662091
2,9.85214,-2.9305,0.213084,-1.1885,-2.18944,2.62395,9.40643,-1.69414,-3.92452
3,10.4172,-3.21062,-0.241814,2.20915,-2.76595,-0.635404,-10.9127,-0.783913,1.10738
3,10.1347,-3.33512,-0.490811,-0.639079,0.162712,0.120552,10.7663,0.757638,-1.76225
3,10.1921,-2.66714,-0.344765,-0.468091,1.95874,-1.03966,18.0873,3.65641,7.79947
3,10.0149,-2.97839,0.0191536,-0.848107,-1.75111,-0.60832,17.5902,0.416902,-1.38901
3,10.4267,-2.39181,0.035913,0.666346,1.17318,-0.306977,16.2879,0.0805528,-1.14959
3,9.7851,-2.73657,-0.3304,1.86388,-1.51753,-0.151218,-15.5927,4.65073,-3.48549
3,9.67018,-3.00233,0.141258,0.518864,2.25049,3.71303,6.76909,-4.20371,-5.45569
3,9.84016,-3.17232,-0.21069,-0.0836576,2.81221,-0.114974,2.71293,-1.50565,-1.34019
3,9.79947,-3.11964,-0.995988,3.41339,3.87904,0.071972,-4.25461,-2.4303,-1.14152
3,9.65581,-2.79643,-0.711078,-0.291744,-0.682185,-1.09078,1.80465,1.23443,-1.20778
3,9.68694,-2.68629,-0.440533,-0.622135,1.17568,1.10657,5.85674,-1.75445,1.62503
