time_step,x,y,z,s1,s2,s3,s4,s5,s6
0,10.058,3.09331,0.505176,36.6311,1.80488,31.4241,-73.1357,-2.62995,2.97421
0,10.1107,0.711078,-1.70946,-0.629928,2.12303,0.633705,294.593,1.35968,1.79048
0,7.08923,4.51067,-1.0319,-13.256,3.80137,-7.98785,-213.573,-2.58021,-1.06549
0,19.2422,-19.6133,3.93846,47.2897,0.743163,-4.9633,-167.824,-1.55648,0.440659
1,9.7444,-13.3022,-5.02782,-13.4738,-1.47901,-2.82886,-37.3754,4.97103,-0.532633
1,10.5489,-0.823605,-3.57454,-23.2923,-1.7978,-5.43945,100.117,1.51184,-2.60356
1,11.5975,-3.19386,4.22577,17.3247,1.9025,-1.35973,-59.3431,3.84005,5.10863
1,9.11951,-2.63601,4.42688,0.145897,-1.69726,2.63364,-41.5414,-4.13224,1.10501
1,10.5345,-2.83713,-1.95846,-15.0794,1.81168,-1.82533,-8.32976,-0.290851,1.55322
1,10.0341,-3.58412,-2.63841,-6.77969,-2.89197,3.44757,-11.7689,0.0135354,0.549736
1,10.6614,-2.52588,-0.0263362,-4.10241,-4.10444,-1.33272,5.52219,-2.55691,-2.62965
1,9.38048,-2.40857,2.81079,-1.77801,1.46215,0.514992,1.59068,0.186782,2.16576
1,10.3453,-2.71981,-1.36709,-1.68553,-2.15333,2.02786,-17.7385,-1.2189,-1.4359
1,10.2113,-3.65834,-1.53947,0.843204,2.09939,-4.60655,5.40949,0.724801,-0.928327
1,9.81144,-2.25534,0.306458,-0.574205,1.615,0.953976,-5.253,-0.130664,2.70729
1,9.98142,-2.7677,0.993593,-0.975026,1.44892,1.28925,-21.6885,-0.107746,7.97597
1,10.1897,-3.0981,-0.438139,-3.4202,2.20915,1.3105,5.2491,3.12567,-0.346117
2,9.991,-2.88262,-1.09415,-0.27032,2.12462,-3.31437,17.4073,2.42244,-3.4325
2,10.0724,-3.0119,0.457292,-0.61075,0.602051,-5.46492,7.66157,1.87197,-3.71798
2,10.4124,-2.87304,0.155623,-1.78232,0.255494,0.389303,12.0856,-1.59869,-1.77466
2,10.1299,-3.055,-0.529118,-0.776413,-2.75836,47.6844,8.3998,2.7054,-0.562935
2,10.6183,-3.28724,0.232238,-3.55412,-1.61112,-6.71861,6.90212,-0.333164,1.56616
2,10.0245,-2.36308,0.208295,0.550457,-1.41761,-14.3949,4.53998,-1.45014,0.933198
2,10.4267,-3.1364,0.241814,4.49359,1.52404,-10.9327,-21.4024,-1.96398,3.35219
2,10.4483,-3.28724,-0.428562,-2.27079,0.413666,-3.12858,4.4504,0.364839,-2.94968
2,10.1275,-3.56018,-0.0981622,-1.51522,-0.662495,-2.77245,30.4963,5.22301,4.13176
2,9.52892,-3.34949,-0.76375,3.23891,2.17511,-0.332443,-10.3292,0.133253,2.9009
2,9.58398,-3.055,-1.08218,3.15499,1.29078,-0.977751,4.94738,-1.29064,-0.774893
2,9.61272,-3.48356,-1.01275,-0.890542,1.25753,-1.69004,-4.56618,-2.79924,2.00023
3,10.0365,-3.39498,-0.301669,1.92195,0.974847,4.82289,4.5638,-0.429048,2.10151
3,10.0365,-3.14837,-0.277727,1.7588,1.11475,-1.67859,11.9492,-3.00539,-3.49173
3,9.66539,-2.92811,-0.600945,1.23775,3.48356,1.08893,-21.6243,0.55099,-4.16268
3,9.92396,-3.1364,-0.512359,-4.28447,-0.303887,3.5856,1.34531,3.33211,0.619621
3,9.85932,-3.2609,-0.500388,1.47802,1.11013,-2.82117,9.00591,1.60593,0.542956
3,9.83777,-2.79164,-0.521936,0.210998,-0.480344,1.38799,-1.74788,-2.09551,3.16759
3,9.95509,-2.83713,-0.435745,-1.3828,-3.20755,4.71665,3.97467,-9.92621,4.16046
