x,y,z,s1,s2,s3,s4,s5,s6
8.78432,-2.65517,-0.948104,76.32,105.12,69.12,162.72,36.0,46.08
11.6454,-12.2703,-0.0311246,147.974,-15.624,-4.536,58.6512,4.83839,0.561598
6.93361,-8.29112,-1.33836,2.65465,-30.0705,-11.0503,33.5953,-5.07413,0.5688
5.80594,-6.67503,-1.22583,-2.56679,-25.9103,-5.07152,10.1596,2.60363,-4.01486
6.20816,3.73974,-4.09887,-49.5002,-12.0315,-3.59176,-106.455,-1.98132,-2.12331
5.45399,-8.03733,3.74692,60.1646,-5.53319,-1.55717,-105.132,-0.731192,-2.79686
9.71088,-2.75333,-1.58975,-7.46073,-5.25627,0.695239,6.5162,4.81849,-2.43574
10.5177,-1.38145,-2.39899,-43.1677,3.79057,1.07671,-83.773,0.551768,0.453014
9.67018,-5.99029,-1.82438,19.7014,0.15514,3.77623,19.7114,2.15233,3.25016
11.0229,-0.548272,0.141258,24.9945,0.455613,-4.15007,51.703,1.52642,2.46992
8.48026,-4.29041,3.97916,56.5832,0.257414,4.02163,-62.0047,-3.2272,-1.89318
10.4722,-1.4868,-1.64242,-4.60082,-1.0084,3.12037,3.61796,0.336115,2.27783
9.91199,-4.80995,-1.92015,-13.9334,-0.596218,1.09965,-2.58317,-3.68033,-1.47537
10.0532,-2.13323,-1.41737,-15.4673,-0.301335,-1.77501,29.259,3.91298,1.92383
9.36132,-2.98317,2.72699,32.5682,0.456316,-2.82039,-6.04226,-0.145764,2.62089
10.2592,-2.45166,0.083797,-3.32431,0.810752,-0.419949,-1.16604,-2.83471,-2.58233
9.93593,-4.21379,-1.02951,-16.9291,-0.989882,1.92561,2.47018,2.3799,1.87147
9.97903,-3.82833,-1.41497,-30.8115,0.830111,0.60257,1.94492,1.50535,2.63933
9.65821,-3.57933,0.682347,-29.4793,-0.612483,0.566967,-8.84486,-0.671854,-0.826925
9.67496,-2.86825,0.158017,-17.4816,-1.52945,-0.302526,17.8962,1.89115,-1.43121
9.71806,-3.43089,-0.502782,-6.4921,0.277527,-1.64047,-1.36937,-4.6335,1.48156
9.93114,-4.27604,-0.85473,-21.4121,-1.51398,-0.102935,15.1638,1.47716,-0.517582
9.78031,-3.99832,-0.565031,-9.2527,0.247254,1.45265,-1.84383,-3.5613,1.37688
9.79707,-3.17232,0.505176,-6.99989,-1.53223,-2.03293,14.865,3.32689,-0.316188
8.75799,-5.00867,-1.06063,-3.65189,2.28281,1.03204,-13.1273,-1.32615,1.49829
9.7851,-3.70622,-1.03429,1.0706,-0.0483985,-0.146963,-16.3766,1.35932,0.88295
9.38287,-3.77087,-0.859518,-3.23561,1.00885,1.00685,5.26446,-1.12591,-5.31396
9.66778,-4.31196,-0.146046,3.53373,1.49447,2.03045,2.0332,-1.54817,1.42937
9.70609,-4.3335,-0.447716,-0.918144,-1.45289,0.298066,-3.44489,-0.315495,1.97058
9.70848,-4.3359,-0.617704,-0.0835642,-0.375793,-0.219063,5.27071,-0.114707,1.0799
9.42836,-4.68066,-0.435745,-0.612776,3.86371,-0.975399,9.27133,1.61778,3.72184
9.42358,-5.03261,-0.181959,1.08828,-1.76007,1.18632,-7.44068,0.943369,1.04544
8.99262,-4.44843,-0.720654,-2.22177,-1.49362,1.86869,-17.0797,1.68541,-5.92257
8.73883,-4.97754,-1.08936,-1.40862,-1.32149,1.03152,-22.1492,1.23834,2.2068
8.81066,-6.2345,-1.01514,-0.416621,2.17941,-2.36413,22.1786,-2.23609,-2.77888
8.15465,-6.94558,-0.641646,22.2557,1.39434,-2.02148,13.9124,-0.818747,-2.84666
7.82664,-6.6463,-1.11091,20.3427,-2.16741,-1.673,-25.3521,0.761342,-1.22611
8.16901,-5.9879,-1.47962,-18.2851,-0.180987,0.256407,7.20384,2.82489,3.43199
7.83383,-6.21774,-0.548272,11.9263,2.03541,1.9649,9.08345,-2.71514,-3.71537
7.67581,-7.17063,-1.24259,25.8244,-1.69148,-1.44927,1.60993,-1.69936,3.15133
8.30548,-5.96635,-1.35991,-20.5686,0.369184,-2.36723,1.74276,-0.865896,-0.28358
7.75242,-7.46991,-0.366313,37.3458,-0.0136738,2.70852,-3.913,0.479921,3.41176
7.58962,-7.31668,-0.878672,48.5452,2.02058,-2.03986,-18.028,3.72934,1.15612
7.79313,-7.13232,-1.52989,-3.96111,0.337338,1.27503,-3.9045,-5.05815,-4.10231
7.87932,-6.55532,-1.12049,-16.8655,-1.33346,2.57188,9.28726,-2.86778,0.752076
7.46033,-6.45716,-0.0885854,-6.6553,2.09173,-0.30694,15.8692,1.67015,3.79951
7.65665,-6.56011,-0.864306,5.82607,2.4096,-0.291448,-7.43426,4.57995,-1.54465
7.58483,-6.3997,-1.8172,-11.7786,-0.667474,-1.2931,16.5883,-1.66528,1.21175
7.46272,-6.33745,-0.90022,1.4795,1.7818,0.40045,-10.2973,1.10736,3.34853
7.94635,-5.70778,-0.399832,-11.2081,-0.377118,-0.848309,2.92958,-2.76909,1.05351
7.92002,-5.58806,-0.950498,-9.58991,-1.73731,-2.55448,-20.1235,1.22509,0.232966
8.22887,-5.78439,-1.08936,-11.1303,-2.73341,-2.35139,-7.32241,-2.04732,0.391061
8.49941,-5.47075,-0.632069,-26.8694,2.20644,2.46405,13.762,-0.636681,0.216541
8.42759,-4.76925,-0.727837,-18.4198,-2.61732,2.44005,0.9465,2.90341,-3.30445
8.59758,-5.30794,-1.21147,-11.7738,2.40225,-3.54623,6.76767,-2.60794,2.92667
8.76756,-4.96078,-0.811634,-4.57646,0.0687272,-1.32922,1.30589,-2.85024,-3.61441
9.36851,-5.04458,-0.26815,2.18487,0.236322,1.96304,-1.58585,-1.23573,2.09458
9.32302,-4.52025,-1.45807,-1.41095,4.45404,2.33478,1.60025,0.244169,-1.20335
9.9072,-3.7158,0.102951,-2.65711,-4.02228,0.432399,-3.24991,0.800918,-1.69751
9.87368,-1.89381,-0.102951,-0.0388993,-0.254146,-0.384973,17.5133,3.33377,2.25091
10.386,-3.49314,0.825999,4.41462,-0.272422,-0.242351,14.621,-1.28414,-1.49962
9.6606,-4.59447,-0.196324,0.891793,15.6932,5.63641,0.104664,-0.891821,-4.45383
9.8258,-3.1795,-0.80924,3.50495,-6.42352,-3.01299,-18.8577,-3.34062,-0.241898
9.63427,-3.26808,0.0430956,-3.76646,8.09588,0.5815,-16.6877,2.65217,5.21132
9.72764,-3.16274,0.184353,-2.94392,-6.39711,-0.969863,20.86,-1.49683,2.80283
9.99579,-2.97839,-0.514753,-1.54137,-5.20494,-2.02816,-3.92688,-0.985115,-1.71458
9.71088,-3.43807,0.19393,-1.06656,-6.89836,-0.298364,2.93687,-1.41256,1.15714
9.69891,-3.48356,-0.35913,6.04456,-1.19391,-0.688412,-22.7474,-0.243037,-2.13325
9.74679,-2.55701,-0.526724,12.5673,0.216553,0.751478,10.4946,1.66373,2.4269
9.85214,-3.20823,0.361524,17.1024,0.480653,0.163818,3.37483,-0.694718,0.36407
9.92636,-3.0119,-0.59855,6.25481,-2.61077,0.364275,-6.91502,2.70609,0.708936
9.79947,-3.09091,-0.632069,7.19357,1.34455,-1.53834,0.0164515,-0.372638,0.395138
9.96706,-2.52588,0.114922,33.2292,-0.545023,-0.908304,14.6425,2.54453,-1.54449
9.78989,-2.61686,0.378284,54.8693,-0.0730095,-0.761375,-13.9433,2.09706,0.829168
10.0796,-2.21703,0.14844,18.378,-0.0183115,-9.09914,1.50556,1.10408,-2.33097
9.67018,-2.42293,-0.28491,18.2475,0.295007,-5.84872,-13.1423,1.45509,-1.38853
9.79228,-1.90339,0.325611,28.8675,0.171907,-3.29339,2.08868,-0.644734,3.31505
9.90242,-2.05422,0.294487,28.812,-1.35331,2.36536,1.9494,-3.62051,-2.33604
9.73243,-2.37026,0.0383072,2.8523,1.7851,-0.153249,-13.9663,-3.81386,-2.1059
9.98382,-2.18591,-0.203507,2.05412,2.00224,-0.193204,-9.39597,-0.381986,1.1568
9.7037,-2.29843,-0.0430956,3.11041,1.08257,3.07711,10.027,1.38665,2.80861
9.62229,-1.93691,0.172382,11.0302,-4.6156,0.958039,-14.3043,-3.1965,0.440381
10.0006,-2.40857,0.0,6.33237,-1.88959,-2.76243,8.32529,4.68007,0.131557
9.92157,-2.38223,-0.366313,-8.63606,5.70278,2.37314,-2.64771,1.41542,-0.245504
9.97185,-2.32716,-0.19393,-1.34257,-1.46186,6.42303,-26.7572,-3.70545,0.686995
9.32781,-2.63601,0.0335188,8.31416,-1.70417,-3.80969,4.77199,-1.67878,-1.03071
10.07,-2.8898,-0.256179,8.59659,0.213646,-4.84008,6.59732,-1.41508,-0.628108
10.1179,-3.04542,-0.241814,-16.4478,-0.103322,0.77357,-18.0704,3.57328,0.588344
9.96466,-2.99515,0.220267,-11.2005,-0.0693557,-0.475484,16.977,-1.27789,0.368942
10.1011,-2.4349,-0.251391,-4.56129,1.70673,-0.309895,10.1972,-0.898757,-2.38956
