x,y,z,s1,s2,s3,s4,s5,s6
12.5432,-2.54743,2.37984,86.4,43.2,76.3199,-1347.84,44.64,46.08
12.4786,-1.16358,-2.11168,-36.3744,4.21918,-8.928,-1335.3,2.4048,4.8816
9.64624,-4.81713,-2.24815,1.0126,-2.64039,-8.54394,-679.062,-0.573829,-9.28079
7.78115,-2.17154,0.471658,45.6074,0.860112,-6.90896,-328.575,0.698717,0.622654
10.4339,-2.35589,0.0742202,23.2396,1.52251,-1.35522,-124.498,-4.11983,3.04564
9.6199,-2.89698,-1.01754,-40.6027,-1.43008,3.83866,-61.9233,-2.18992,0.903805
9.9072,-3.03345,0.198719,25.1488,-1.50138,-1.12661,-9.25716,1.18673,2.96748
9.81862,-2.09253,0.308852,-4.48874,0.0274693,-3.40032,-33.0799,2.22489,-1.73152
9.95988,-2.50912,-1.53468,-26.9109,-0.52266,-1.3897,15.9547,-4.2195,0.00244719
9.7444,-2.94966,0.275333,-23.1288,4.31803,1.08633,3.815,-0.0398318,0.682579
9.94551,-2.63841,0.220267,-15.3383,0.252315,-1.88624,-53.9597,-2.71702,0.698194
10.0006,-2.86346,-0.727837,-6.13385,-1.48409,-2.88433,37.2231,2.14109,2.41966
10.1658,-2.91135,-0.179565,-6.59641,0.265705,0.383072,-2.18135,-0.611157,4.25261
9.84974,-2.55701,0.189142,-0.747419,0.219552,-2.53062,-37.0923,-2.49369,-2.7954
10.1538,-3.32315,-0.565031,-2.7202,0.418026,1.92815,43.5555,1.46061,-0.368869
9.87847,-3.41174,-0.335188,1.33525,0.232776,-1.34768,-29.4205,1.56193,2.25654
10.2927,-3.17232,-0.222661,1.4992,1.85896,-0.0314819,-35.1126,-1.1313,-1.25254
9.9096,-2.73657,0.260968,-1.23415,-0.372065,-2.00363,3.82805,6.17256,0.00920105
10.1275,-3.56975,-0.639252,-2.22192,-4.92017,2.55449,-15.0952,1.95958,0.967782
10.173,-3.60806,-0.636858,-2.44389,1.7131,-0.402834,22.5111,-3.45565,2.6057
9.85214,-2.68869,0.277727,0.120533,0.980181,-0.346294,14.111,3.66931,1.46864
10.1634,-2.69587,0.275333,1.31528,-0.342246,1.25691,-32.4515,-0.297013,0.736898
10.2137,-2.9736,-0.64404,1.66475,1.80308,-7.95331,46.2917,-4.04927,-1.07738
9.84496,-2.99993,-0.454898,3.78756,1.06087,-2.09076,-33.51,-1.19789,-1.19018
10.2592,-4.08211,-0.237026,-2.72943,1.44299,-1.9995,-42.4581,3.199,1.93482
