x,y,z,s1,s2,s3,s4,s5,s6
0.00319755,-0.0134564,-0.03917,30.24,46.08,30.24,-1743.84,43.2,47.52
0.0042634,-0.0150551,-0.0367718,3.456,3.8448,2.7216,-1358.99,6.2928,5.54401
0.00492955,-0.0154548,-0.040902,0.973291,-0.104543,2.28975,-698.262,1.74471,2.55989
0.00586217,-0.0174533,-0.0371715,6.1721,-1.43979,-1.97437,-378.857,2.47681,1.24025
0.00346401,-0.0147887,-0.0411684,-3.0583,1.74713,0.193883,-193.782,-1.21797,-0.833544
0.00266462,-0.0145222,-0.0405023,-0.908412,-0.895969,1.94193,-98.9406,0.321936,2.34184
0.00586217,-0.0185191,-0.0371715,0.443203,3.11848,0.584969,-42.6189,-0.0619706,2.30223
0.00479632,-0.0154548,-0.0371715,-2.28049,4.19543,-2.02156,-24.4453,-0.0501453,1.00161
0.00599541,-0.013856,-0.0375712,2.07057,-1.41938,3.6545,-17.2236,-1.76874,-0.960572
0.00399694,-0.010392,-0.0394364,-1.5785,-0.17305,-1.80884,-14.8156,0.113932,-2.04131
0.00133231,-0.0159877,-0.0395697,1.87316,-2.31297,-0.37509,-6.0047,-3.87352,1.73841
0.00612864,-0.019585,-0.0363721,-2.55915,-0.4987,3.04461,-9.79891,2.06835,-0.341696
0.00479632,-0.0158545,-0.0399694,0.708277,-0.187236,-3.97758,-20.7978,-0.0695466,1.16514
0.00492955,-0.0205176,-0.0410352,-2.05394,-1.22421,1.95074,-5.6258,1.84125,-0.749149
0.00679479,-0.0166539,-0.0367718,1.05269,-1.30659,-0.133162,-4.00177,0.840588,0.651714
0.00666156,-0.0166539,-0.0385038,-2.48126,1.57137,2.11193,-8.04892,-0.198454,-3.90896
0.00479632,-0.0163874,-0.0410352,-0.347957,2.40902,0.928402,8.92891,0.15023,-3.20315
0.00386371,-0.0159877,-0.0410352,-0.394793,1.63033,-0.461862,-12.0487,0.0958869,1.72737
0.00652833,-0.0149219,-0.0402358,5.84877,-3.78305,-0.841622,-2.60118,-4.57341,4.32553
0.00399694,-0.019585,-0.0401026,-0.30551,-0.293267,0.669832,-11.6621,0.223193,1.89982
0.00466309,-0.0190521,-0.0390367,-2.47993,-2.27846,-0.711988,-7.39814,1.77113,1.51595
0.00439663,-0.0169204,-0.0377044,-0.287282,2.10423,0.695107,-4.45346,-0.955374,1.40026
0.00413017,-0.0167871,-0.0387703,-3.23966,-0.119073,0.204164,4.56887,2.78056,-0.392297
0.00359724,-0.0187856,-0.0406355,-2.77353,-1.29946,0.390164,-1.54563,0.819655,-3.47168
0.0042634,-0.014389,-0.0381041,0.809416,-3.93083,1.05249,-12.6899,-2.52722,0.581331
0.00399694,-0.0127902,-0.0395697,-2.28822,3.53743,0.895637,0.901547,-1.27152,-0.647333
0.0021317,-0.0165207,-0.0406355,-1.36287,0.252253,1.61065,-8.85347,0.813959,0.7365
0.00892649,-0.0154548,-0.0383706,1.88805,1.1279,-1.68292,12.5661,0.225767,0.455721
0.00732772,-0.0147887,-0.0417014,1.75997,0.643058,1.53048,-15.5053,-3.92255,0.231858
0.00945941,-0.019585,-0.0434334,2.98232,-2.85917,1.2643,-24.9264,2.63977,0.114383
0.00786064,-0.0189188,-0.0362389,-1.22787,1.72614,0.968196,3.98168,2.61125,-2.5215
0.00586217,-0.0158545,-0.040902,-0.84368,-2.28556,-4.6494,-16.521,0.562914,-0.329899
0.00266462,-0.0189188,-0.0418346,0.400013,-2.00654,0.67345,-3.14816,3.69614,1.35984
0.0110582,-0.0158545,-0.0343736,1.70921,-1.6678,-3.72436,2.54582,0.448532,0.198457
0.00732772,-0.0137228,-0.0382374,-0.999094,0.791559,-6.27943,-5.58461,1.23475,-1.38486
0.0042634,-0.013856,-0.0375712,-0.654852,0.532655,0.770182,-14.6409,-2.71643,1.76563
0.00159877,-0.0154548,-0.0371715,-0.335755,2.31884,0.421229,-4.06948,3.52522,-0.0524681
0.00346401,-0.0149219,-0.0405023,2.10934,3.36623,-1.83445,10.2662,1.32921,-0.641079
0.00546248,-0.0135896,-0.0421011,-2.77937,0.179751,2.63264,-8.19414,4.33069,0.768086
0.00572894,-0.0151884,-0.0382374,-0.265056,-3.45699,-0.667367,0.871482,-1.79482,0.776153
0.00719449,-0.0171868,-0.0359724,3.15123,2.30701,-0.503168,-2.38762,-1.53438,-0.721315
0.00652833,-0.0167871,-0.0394364,0.399412,0.885725,-3.44481,3.12713,-0.810796,2.42742
0.0063951,-0.016121,-0.0395697,1.83508,0.714374,1.437,-4.28735,3.08221,3.2541
