x,y,z,s1,s2,s3,s4,s5,s6
-0.116711,-0.0194518,-0.0791394,1.44,1.44,0.0,-1162.08,89.2799,60.48
-0.00945941,-0.0266462,-0.0353063,-1.2672,-0.432001,1.9584,-992.044,93.3984,2.808
0.285914,0.0106585,-0.115911,5.03352,12.1131,14.4703,-385.207,-154.534,-2.17612
0.0574226,-0.372115,-0.0254472,16.2377,10.2991,10.956,-238.322,-183.403,-0.550784
-0.274723,-0.192786,0.175465,9.4119,10.2057,3.97393,-168.946,37.2412,5.8389
0.170136,0.194917,-0.107784,12.2308,4.32749,3.56412,-109.079,-96.6144,-0.909154
0.0190521,-0.0607534,-0.201712,2.2148,0.619874,1.35915,-140.458,-67.9747,-3.6648
-0.0170536,-0.159744,0.0523599,0.442817,0.168686,6.08872,16.9589,122.559,0.492105
-0.0583553,0.166939,-0.0235819,-0.445648,1.2081,-1.91408,19.256,-49.2543,0.447057
0.0233155,-0.0323752,-0.0678147,2.602,-2.48914,2.03412,-108.739,-44.9451,3.11758
0.0576891,-0.180528,-0.051294,-0.74639,0.778227,-1.011,-45.9325,31.5727,-4.20191
0.00199847,0.054758,-0.035706,-0.850056,1.69874,3.03911,8.22178,98.5006,5.1582
-0.0165207,0.0562236,-0.00239816,-0.229711,0.418151,-0.467926,17.2775,-29.8699,3.78185
0.0343736,-0.11791,-0.0250475,-0.0957453,-1.57479,1.63937,-39.9496,31.5395,1.1308
0.028245,-0.0321087,-0.0796722,0.25699,0.205777,-3.04613,-47.3183,172.682,-0.346103
0.00719449,0.0527596,-0.0735436,-0.149118,-1.5536,0.436149,-26.0717,268.886,-3.66341
0.00519602,-0.0527596,0.0302435,1.64457,0.227443,3.0369,-13.8988,275.39,0.468083
-0.00506279,-0.0588882,-0.0238484,3.84044,-0.101973,-4.01783,9.04364,233.059,-3.88695
0.00905972,0.00839357,-0.0961929,-4.13787,4.55322,2.38853,-52.1737,183.12,1.13772
-0.0217167,-0.0218499,-0.0479632,1.44827,-0.465027,0.122536,-43.2164,87.8967,-0.608688
0.00199847,-0.0520934,-0.00839357,0.792072,-0.772912,-1.77666,26.5842,148.457,5.05438
0.0150551,-0.0294441,-0.0444992,-0.51166,3.05701,-1.33826,25.7486,65.4525,-1.36161
0.013856,-0.0382374,-0.0235819,0.503503,0.971955,-0.697852,-21.3741,41.7548,-1.84784
-0.00626187,-0.0431669,-0.0279786,-1.65821,-0.70868,-0.34573,15.9154,74.5969,-2.7541
-0.016121,0.00452986,-0.0479632,-1.28636,0.683705,3.31505,-3.77999,-101.812,0.456903
0.0157213,0.0085268,-0.0471638,-1.88256,0.730196,-2.38202,-80.9423,-65.7101,4.70647
-0.000666156,-0.0556907,-0.00839357,0.404843,0.393361,-0.0877673,-1.70779,-15.6076,-1.84079
0.0221164,-0.0454318,-0.0309096,-0.819769,-1.24405,0.0541371,-17.3362,82.5783,-0.137627
0.0242481,0.0167871,-0.0111914,-0.190925,-2.48129,6.09768,11.5771,-166.437,-1.43864
0.00759418,0.000532925,-0.00359724,-2.95458,-1.68668,-1.62094,-8.43268,-163.204,-2.26836
-0.00999234,-0.079539,0.0410352,0.872362,0.26874,-3.48425,-35.4831,-82.0623,-3.5994
0.0173201,-0.00719449,-0.0354395,0.938666,-0.374538,0.628218,38.8604,-32.839,-2.05962
0.0199847,-0.00652833,-0.0218499,-1.23645,-4.24669,3.09562,-16.9793,-98.098,2.98176
0.00199847,-0.0732772,-0.0206508,0.0766748,0.96624,-0.507443,-17.6097,-85.7606,-2.19735
0.00546248,-0.0245145,-0.0414349,1.539,2.79249,1.84437,-55.9049,-22.8215,-3.45076
0.00679479,-0.00399694,-0.046098,0.0540338,-0.46776,1.69691,8.75817,26.848,0.975463
0.00586217,-0.0488959,-0.0366386,-3.21893,-0.394446,-4.25233,11.4763,0.205501,0.717958
0.0129234,-0.0361056,-0.0118576,1.84584,1.23184,-0.568378,7.95487,-81.9352,-1.06661
-0.00719449,-0.0133231,-0.0293109,-0.832258,13.9943,1.29786,-63.5723,-402.477,0.184912
0.0117243,-0.0411684,-0.0594211,1.17829,-4.75366,-1.79978,-22.0307,-262.05,0.154284
0.00599541,-0.0170536,-0.00879326,2.46251,-5.11666,-2.5411,-8.21748,-158.72,-5.67866
0.0118576,-0.00373047,-0.0279786,1.98109,-0.785225,3.45833,-42.8042,-100.402,2.68995
0.0131899,-0.0223828,-0.0503614,-2.67476,-1.66979,-1.2949,-49.0017,-52.3712,5.2954
0.00399694,-0.017853,-0.0171868,1.54368,-1.53865,-0.601158,-26.8357,-27.3876,-1.90009
0.00692802,-0.0191853,-0.0579556,1.84848,-1.12118,0.846036,0.62187,-14.18,2.98443
-0.0042634,-0.0226493,-0.0145222,-1.27115,4.34237,-1.82999,1.86096,-2.69661,0.14435
-0.00133231,-0.0117243,-0.0177197,0.318813,19.3152,0.643695,5.01192,-4.3515,-6.11027
-0.00519602,-0.013856,-0.0459648,1.98337,-0.292675,-1.59075,7.21684,1.61264,-3.01752
-0.00359724,-0.0170536,-0.0318423,0.603494,-7.22794,1.02177,-4.99208,-4.02796,-0.645503
0.00532925,-0.00333078,-0.0174533,11.2498,-4.17931,0.360389,-5.38801,3.88545,-0.543722
0.00706125,-0.0221164,0.00319755,-1.16255,-3.54524,-0.973636,-24.4185,-0.679206,0.850711
-0.0125237,-0.0203844,-0.0327749,0.572008,-4.06074,-0.27821,-10.7139,-2.61007,0.819793
0.00559571,-0.0253139,-0.0620857,-1.89217,-2.19887,2.45918,-16.4988,1.92891,1.04276
-0.0241148,-0.0274456,-0.00199847,-1.72749,0.646126,1.74099,-60.5336,-4.75652,1.70624
0.00786064,-0.0370383,-0.0347733,-2.96329,0.471725,2.03893,-28.6651,3.44895,2.38363
-0.00413017,-0.0297106,0.0231822,0.330277,-2.0301,-0.866998,-34.937,1.07255,-4.45273
0.000799387,-0.0488959,0.00413017,0.624634,-1.19826,0.0120196,-30.5049,1.07478,7.32031
-0.000266462,-0.0456983,0.0231822,-1.09227,-0.90786,1.48521,-1.06092,0.878481,0.798927
0.00559571,-0.0402358,0.00359724,-1.26586,-0.473715,-1.4143,-18.7389,-0.675483,2.11336
0.00759418,-0.0475635,0.0290444,1.05638,0.298076,1.9942,13.2119,-1.56812,3.53771
-0.00199847,-0.0548913,0.00932619,-2.21149,0.496179,-0.451398,-3.31875,-2.92452,4.53628
0.00586217,-0.0474303,0.00439663,2.68836,-1.16537,2.83265,-4.24994,1.48333,-10.1826
0.00932619,-0.0327749,-0.00772741,1.12397,-1.30259,-0.914762,-50.2562,-2.7259,-3.22594
0.0186524,-0.0371715,0.00772741,1.97335,0.735893,-0.957884,2.76202,3.20636,-3.6972
0.00599541,-0.0414349,0.0350398,-0.0426224,0.484266,-3.09283,-18.4297,1.1447,-0.0293145
-0.00346401,-0.0371715,0.0361056,0.190655,-0.658783,0.221208,-73.7534,-2.05508,-0.689152
0.000666156,-0.0418346,0.0163874,5.02285,1.33895,2.84229,-8.82982,-1.54482,-2.97601
0.0167871,-0.0383706,0.00559571,11.8328,-1.16716,-0.636428,8.75843,-0.80538,2.01951
0.0167871,-0.0415681,-0.0111914,1.64474,-0.433593,2.38553,18.4869,2.17861,-1.57744
0.0127902,-0.0399694,0.00519602,9.36012,0.937587,-0.863521,0.803276,0.161503,-2.44398
0.0163874,-0.0267795,0.015588,10.5691,16.9933,0.833951,-52.9237,-0.00240755,-2.25513
0.0101256,-0.0423675,0.00839357,16.3877,25.482,0.219371,19.4672,-0.310919,3.65261
0.0131899,-0.0414349,0.0696799,11.9764,20.7549,-29.8471,-36.3718,-4.80262,0.777945
0.0306432,-0.0398361,0.0218499,11.134,15.7669,8.61338,33.9322,2.08099,0.290137
0.0435666,-0.0359724,0.0237152,4.18716,16.6391,6.08162,-26.9121,1.11637,-1.30603
0.0329081,-0.0341072,0.00706125,12.0031,11.8354,4.88989,-23.1534,0.325327,-0.237484
0.000133231,-0.0291776,-0.035173,10.55,14.7707,-3.19207,-33.7702,3.92666,-0.38254
-0.00279786,-0.0393032,-0.0130567,11.6376,15.9795,0.208161,13.0568,-1.98488,2.6686
-0.00692802,-0.0226493,-0.0239816,15.2126,18.7543,2.0039,-0.412996,-3.06679,-3.59055
-0.0021317,-0.0456983,0.0302435,14.9629,18.0352,-1.42452,1.40227,1.41919,-4.5474
-0.0162542,-0.0406355,-0.00972588,34.8204,21.8158,0.223005,-10.602,1.26078,2.67605
-0.00892649,-0.0397029,0.0508943,24.6624,18.2802,2.76976,-30.1583,2.10867,-0.522549
-0.00799387,-0.0307764,0.0402358,10.9254,22.658,0.45903,-43.1602,-0.805376,3.2941
-0.0411684,-0.0395697,0.0227825,6.74672,21.9403,0.748896,38.1018,0.577485,1.09844
-0.000932618,-0.0369051,0.0572894,8.03928,22.4685,0.716513,-29.1192,-1.37193,2.5366
-0.0113247,-0.0313093,0.0619525,12.9909,24.477,-1.89265,-28.7214,0.0140144,0.890006
-0.0215835,-0.0402358,0.0206508,12.0906,19.6282,0.843463,-70.0942,-0.464167,4.42195
-0.0285115,-0.0520934,0.0311761,15.3676,18.1673,2.01268,24.3175,1.47256,-0.282525
-0.0223828,-0.0262465,0.0115911,12.1528,17.5338,2.33975,7.80648,-1.17025,-1.49647
0.00652833,-0.0411684,0.0679479,26.8189,19.506,-0.402104,-27.8358,-4.22847,-1.1579
-0.033974,-0.0375712,-0.00612864,-16.229,20.6779,-0.638806,65.1445,4.1943,-1.74319
-0.0528928,-0.0655498,0.012124,-21.0355,12.3425,-0.122365,-1.17899,-0.260848,-6.48959
-0.0225161,-0.0595543,0.0267795,-11.4849,16.082,-0.0428054,-42.1918,-1.24345,-0.576673
