x,y,z,s1,s2,s3,s4,s5,s6
-0.119242,-0.0105253,0.0932619,36.0,27.36,25.92,-862.56,50.4,56.16
0.0583553,0.165074,-0.198248,-0.691198,3.44159,4.2912,-876.657,6.7536,0.691202
0.19505,0.0560903,-0.911568,-1.4557,1.09196,1.64822,-452.537,-4.29594,-4.65335
0.484295,-0.0440995,-1.24718,2.36858,-1.49124,3.11393,-241.437,0.320911,-3.03183
0.228492,0.13936,-1.09263,3.18037,1.36213,-0.239414,-127.55,0.375581,-2.46045
0.162142,-0.0562236,-1.09609,-1.37024,2.9006,-1.18338,-60.9845,-0.0987113,1.58665
0.45725,0.614329,-0.892649,2.78021,6.54707,2.5066,-41.7268,0.761388,1.33115
0.782334,1.57186,-1.30833,1.37054,-0.0458123,-1.67638,22.8399,-2.96685,0.399695
0.700396,1.80582,-1.63235,1.27711,-4.63529,0.88995,-14.0439,-4.10155,-2.70687
0.703194,1.06558,-1.58372,-0.457317,-0.411252,6.3501,-113.509,4.04473,2.73239
0.210505,-1.23266,-0.37025,0.816038,1.40589,-5.75938,120.472,-0.35317,-2.01105
0.482297,-0.175732,-0.336142,0.493463,0.228756,0.0947168,17.121,0.221583,0.988293
0.251407,-0.0881991,-0.473637,3.13022,0.0706785,0.308923,75.4942,3.6289,2.1019
-0.136962,0.166139,-0.493622,-3.36143,-1.10669,1.9174,-24.3316,-2.15301,0.0379097
-0.0608867,0.167205,-0.486694,-2.39007,-0.414598,-3.22153,-71.9167,-2.61839,0.231693
0.0936615,0.0810046,-0.403557,-0.100404,0.413131,0.624547,-14.9779,2.5939,-1.00488
0.0770076,-0.0935283,-0.308297,3.22957,0.257901,3.08191,11.8651,3.36233,2.58934
-0.128701,0.03917,0.0941945,0.739977,1.57137,0.622368,45.1839,-5.36424,-2.77387
-0.016121,-0.067415,0.175998,-0.850837,-0.842379,0.527456,-20.699,0.153261,-1.49264
0.0215835,-0.134164,0.0381041,-0.526125,-0.557879,0.278475,-15.5532,1.76546,-2.4858
-0.0855344,0.0277121,0.0876661,-2.01003,-0.588814,-3.87934,-23.9337,-0.120398,1.50406
-0.00492955,-0.076075,0.033974,2.87498,1.42548,0.617698,-22.354,-0.147691,0.981975
0.0127902,-0.081804,0.0269127,0.316138,-1.72485,0.529341,-41.3578,-2.35555,0.805605
-0.044366,-0.000932618,-0.0146554,-0.245827,-1.06327,3.46218,-17.9185,2.3555,4.44156
-0.0107917,-0.0279786,-0.0434334,-2.43172,2.33936,0.847117,-34.1865,2.91008,-2.31223
0.0102588,-0.0399694,-0.0226493,2.61804,-3.75147,-1.10135,62.8405,-5.31364,-3.58177
