run,timestep,servo1,servo2,servo3,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
0,0.015627384185791016,175,35,80,528.0,2240.0,496.0,512.0,21749.0,480.0,3072.0,65487.0,512.0,3872.0,512.0,480.0,21781.0,480.0,2848.0,65423.
0,0.07194232940673828,175,36,80,928.0,928.0,928.0,6993.0,928.0,960.0,960.0,928.0,928.0,944.0,944.0,944.0,976.0,928.0,960.0,640.
0,0.15048694610595703,175,37,80,928.0,976.0,928.0,944.0,944.0,944.0,928.0,1152.0,928.0,944.0,944.0,976.0,944.0,944.0,928.0,1152.
0,0.19737744331359863,175,38,80,944.0,928.0,928.0,944.0,960.0,944.0,928.0,944.0,960.0,928.0,944.0,912.0,928.0,928.0,944.0,944.
0,0.2759413719177246,175,39,80,512.0,7041.0,544.0,10642.0,544.0,3312.0,480.0,65519.0,432.0,6929.0,512.0,10546.0,464.0,3168.0,496.0,65439.
0,0.32898879051208496,175,40,80,928.0,928.0,928.0,928.0,928.0,928.0,944.0,928.0,928.0,928.0,928.0,928.0,960.0,960.0,928.0,944.
0,0.37630295753479004,175,41,80,960.0,944.0,928.0,928.0,928.0,944.0,928.0,944.0,944.0,928.0,928.0,960.0,944.0,944.0,944.0,944.
0,0.4231710433959961,175,42,80,512.0,6737.0,512.0,11090.0,512.0,3072.0,944.0,1888.0,944.0,976.0,928.0,1024.0,944.0,944.0,944.0,960.
0,0.4861030578613281,175,43,80,480.0,6673.0,464.0,11154.0,480.0,3408.0,3376.0,65439.0,464.0,6785.0,528.0,11122.0,528.0,3376.0,3312.0,65535.
0,0.5377538204193115,175,44,80,480.0,7201.0,464.0,11938.0,464.0,2688.0,3376.0,65343.0,560.0,6577.0,512.0,11874.0,448.0,2720.0,3712.0,65535.
0,0.6141664981842041,175,45,80,464.0,6113.0,560.0,13315.0,464.0,4048.0,3872.0,65535.0,512.0,6145.0,560.0,13251.0,576.0,4032.0,3872.0,65535.
0,0.6797611713409424,175,46,80,544.0,6417.0,496.0,13907.0,464.0,4273.0,3856.0,65503.0,464.0,6449.0,480.0,13955.0,528.0,4337.0,3872.0,65439.
0,0.7528076171875,175,47,80,656.0,6737.0,480.0,15027.0,480.0,4161.0,3840.0,65535.0,448.0,6753.0,480.0,15283.0,464.0,4385.0,3824.0,65535.
0,0.8153257369995117,175,48,80,560.0,6609.0,512.0,15411.0,512.0,4113.0,3856.0,65535.0,480.0,6641.0,640.0,15443.0,480.0,3840.0,3680.0,65535.
0,0.8782477378845215,175,49,80,512.0,7361.0,480.0,18964.0,464.0,4593.0,3488.0,65535.0,480.0,7297.0,512.0,18980.0,480.0,4545.0,3520.0,65455.
0,0.9407484531402588,175,50,80,544.0,7073.0,528.0,18900.0,512.0,3728.0,3568.0,65455.0,512.0,7089.0,464.0,18772.0,512.0,3680.0,3584.0,65263.
0,1.0350801944732666,175,51,80,656.0,6353.0,448.0,18900.0,560.0,3408.0,3808.0,65471.0,528.0,6289.0,480.0,18756.0,544.0,3520.0,3808.0,65135.
