run,timestep,servo1,servo2,servo3,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p1
0,0.008642196655273438,175,35,80,6593.0,12595.0,560.0,544.0,544.0,544.0,560.0,61935.0,6721.0,12851.0,528.0,528.0,528.0,576.0,560.0,59694.
0,0.06980681419372559,175,36,80,5553.0,13315.0,512.0,512.0,528.0,528.0,528.0,60110.0,4513.0,11938.0,560.0,560.0,560.0,576.0,544.0,57934.
0,0.13248229026794434,175,37,80,2928.0,11778.0,576.0,576.0,560.0,576.0,576.0,57341.0,2736.0,12034.0,560.0,560.0,560.0,576.0,560.0,59806.
0,0.19368386268615723,175,38,80,4353.0,12467.0,608.0,512.0,544.0,560.0,528.0,62735.0,5457.0,13155.0,528.0,544.0,528.0,528.0,544.0,65183.
0,0.2548670768737793,175,39,80,5649.0,11954.0,544.0,512.0,544.0,544.0,528.0,62735.0,6033.0,12563.0,544.0,528.0,528.0,512.0,528.0,65215.
0,0.316575288772583,175,40,80,3648.0,11666.0,544.0,576.0,544.0,592.0,544.0,59694.0,3472.0,10706.0,544.0,544.0,560.0,528.0,576.0,62687.
0,0.3784034252166748,175,41,80,5585.0,11266.0,544.0,576.0,544.0,544.0,544.0,62719.0,6065.0,11922.0,528.0,544.0,464.0,528.0,528.0,65279.
0,0.4563775062561035,175,42,80,6177.0,12162.0,544.0,512.0,528.0,528.0,528.0,65295.0,6289.0,11538.0,512.0,576.0,560.0,560.0,560.0,59774.
0,0.5324172973632812,175,43,80,6305.0,11730.0,512.0,544.0,528.0,528.0,528.0,65215.0,6161.0,12387.0,512.0,544.0,512.0,528.0,544.0,65263.
0,0.594395637512207,175,44,80,5569.0,11410.0,592.0,560.0,544.0,528.0,528.0,62767.0,5729.0,11874.0,528.0,560.0,448.0,528.0,512.0,65263.
0,0.6574356555938721,175,45,80,5953.0,12210.0,544.0,528.0,480.0,576.0,576.0,57341.0,5185.0,10562.0,560.0,560.0,592.0,576.0,528.0,62735.
0,0.7209911346435547,175,46,80,5681.0,10482.0,560.0,560.0,576.0,720.0,560.0,62687.0,6161.0,11602.0,544.0,544.0,560.0,560.0,512.0,65279.
0,0.7835426330566406,175,47,80,5137.0,11970.0,560.0,544.0,528.0,528.0,464.0,65247.0,5409.0,12210.0,528.0,528.0,512.0,512.0,528.0,65311.
0,0.8464298248291016,175,48,80,5713.0,11922.0,544.0,528.0,528.0,544.0,544.0,65231.0,5921.0,12563.0,512.0,560.0,512.0,544.0,528.0,65247.
0,0.9091010093688965,175,49,80,3296.0,16035.0,528.0,496.0,560.0,576.0,560.0,57390.0,2608.0,13539.0,560.0,576.0,544.0,544.0,560.0,62799.
0,0.9876081943511963,175,50,80,4257.0,12291.0,528.0,528.0,480.0,528.0,528.0,61246.0,4385.0,10546.0,576.0,592.0,592.0,576.0,592.0,57454.
0,1.0496830940246582,175,51,80,5073.0,12627.0,528.0,528.0,512.0,576.0,560.0,57566.0,4577.0,11106.0,544.0,528.0,528.0,560.0,560.0,62671.
0,1.112440586090088,175,52,80,4737.0,12867.0,560.0,560.0,560.0,544.0,544.0,61374.0,4881.0,14723.0,528.0,576.0,512.0,512.0,576.0,65327.
0,1.1746559143066406,175,53,80,3232.0,13203.0,528.0,528.0,528.0,544.0,544.0,65215.0,3424.0,13203.0,512.0,528.0,512.0,512.0,528.0,65247.
0,1.253183126449585,175,54,80,4177.0,13811.0,528.0,528.0,512.0,528.0,544.0,60366.0,3728.0,12162.0,576.0,544.0,560.0,544.0,640.0,65263.
0,1.3154840469360352,175,55,80,3968.0,13555.0,528.0,560.0,528.0,528.0,528.0,65295.0,4225.0,14147.0,512.0,512.0,528.0,528.0,528.0,65295.
0,1.377781629562378,175,56,80,5825.0,14227.0,528.0,512.0,480.0,528.0,592.0,58222.0,4801.0,12579.0,544.0,576.0,528.0,704.0,528.0,65247.
0,1.4566621780395508,175,57,80,5841.0,14755.0,512.0,528.0,560.0,544.0,528.0,65327.0,6017.0,14803.0,544.0,416.0,528.0,528.0,560.0,57502.
0,1.5196051597595215,175,58,80,5953.0,14563.0,544.0,528.0,512.0,480.0,560.0,57678.0,5281.0,12867.0,576.0,544.0,560.0,544.0,544.0,63183.
0,1.583136796951294,175,59,80,5585.0,13507.0,528.0,528.0,544.0,576.0,544.0,62511.0,6097.0,14387.0,576.0,528.0,496.0,528.0,512.0,65295.
0,1.6444613933563232,175,60,80,5777.0,13395.0,528.0,544.0,512.0,528.0,512.0,65279.0,6033.0,14147.0,512.0,480.0,528.0,512.0,512.0,65215.
0,1.7062008380889893,175,61,80,5953.0,14019.0,512.0,544.0,512.0,528.0,528.0,65295.0,5969.0,14163.0,512.0,512.0,544.0,512.0,512.0,65295.
0,1.7677371501922607,175,62,80,5633.0,14083.0,528.0,528.0,528.0,528.0,512.0,65343.0,5185.0,12707.0,560.0,560.0,592.0,544.0,528.0,62591.
0,1.8458504676818848,175,63,80,6065.0,14307.0,528.0,512.0,544.0,544.0,528.0,65295.0,6689.0,14259.0,528.0,512.0,512.0,528.0,528.0,65231.
0,1.9087884426116943,175,64,80,5809.0,14035.0,528.0,528.0,528.0,528.0,528.0,65343.0,5889.0,14067.0,528.0,512.0,512.0,544.0,528.0,65311.
0,1.971947193145752,175,65,80,6353.0,14115.0,560.0,528.0,576.0,560.0,560.0,62431.0,5841.0,13411.0,560.0,544.0,528.0,544.0,464.0,65327.
0,2.0330886840820312,175,66,80,5537.0,11970.0,544.0,544.0,544.0,560.0,560.0,62687.0,6049.0,13123.0,528.0,512.0,528.0,528.0,544.0,65343.
0,2.0951311588287354,175,67,80,6033.0,13043.0,528.0,528.0,512.0,528.0,512.0,65327.0,6033.0,13603.0,512.0,496.0,496.0,512.0,528.0,65327.
0,2.1588873863220215,175,68,80,6369.0,13843.0,528.0,528.0,512.0,528.0,544.0,65311.0,6497.0,13859.0,512.0,560.0,544.0,560.0,528.0,65311.
0,2.2221438884735107,175,69,80,6273.0,13763.0,512.0,512.0,528.0,528.0,528.0,60014.0,6289.0,11858.0,576.0,736.0,528.0,560.0,560.0,62655.
0,2.283930540084839,175,70,80,6177.0,14131.0,512.0,544.0,480.0,560.0,544.0,57582.0,5345.0,12819.0,528.0,528.0,736.0,544.0,544.0,65311.
0,2.345508575439453,175,71,80,6113.0,14403.0,528.0,512.0,512.0,528.0,528.0,65295.0,5985.0,14595.0,528.0,528.0,528.0,512.0,544.0,59166.
0,2.409062623977661,175,72,80,6721.0,13203.0,560.0,640.0,560.0,528.0,528.0,65327.0,6801.0,13955.0,496.0,544.0,512.0,512.0,528.0,65327.
0,2.471360921859741,175,73,80,6865.0,14243.0,528.0,480.0,512.0,528.0,544.0,65311.0,6977.0,14387.0,528.0,528.0,512.0,544.0,512.0,65343.
0,2.532682418823242,175,74,80,5809.0,13523.0,544.0,512.0,544.0,544.0,528.0,65263.0,5329.0,13395.0,512.0,432.0,560.0,576.0,592.0,57566.
0,2.5948777198791504,175,75,80,5489.0,13779.0,512.0,528.0,512.0,544.0,528.0,65327.0,5585.0,13171.0,560.0,560.0,592.0,768.0,544.0,62463.
0,2.657499313354492,175,76,80,4785.0,12675.0,528.0,512.0,512.0,528.0,512.0,65295.0,6801.0,13363.0,528.0,512.0,512.0,544.0,512.0,65327.
0,2.7368791103363037,175,77,80,5729.0,11426.0,592.0,672.0,576.0,528.0,560.0,62511.0,5201.0,12419.0,528.0,528.0,544.0,528.0,528.0,65327.
0,2.7987749576568604,175,78,80,5089.0,12643.0,544.0,528.0,528.0,528.0,528.0,65215.0,5425.0,13571.0,544.0,512.0,512.0,528.0,544.0,65359.
0,2.861906051635742,175,79,80,5793.0,13459.0,512.0,528.0,528.0,560.0,544.0,65343.0,6145.0,13491.0,544.0,512.0,512.0,512.0,528.0,65327.
0,2.9235448837280273,175,80,80,6113.0,13459.0,528.0,512.0,528.0,496.0,544.0,65359.0,6225.0,13443.0,544.0,512.0,544.0,528.0,560.0,59134.
0,2.9859015941619873,175,81,80,6561.0,13107.0,560.0,528.0,512.0,544.0,544.0,60878.0,5969.0,11426.0,576.0,672.0,544.0,528.0,528.0,65359.
