run,timestep,servo1,servo2,servo3,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
0,0.012797117233276367,175,35,80,512.0,21013.0,576.0,512.0,416.0,480.0,560.0,512.0,512.0,21125.0,480.0,512.0,480.0,480.0,544.0,480.
0,0.08912849426269531,175,36,80,960.0,928.0,944.0,944.0,928.0,944.0,944.0,896.0,944.0,928.0,960.0,928.0,944.0,928.0,912.0,928.
0,0.1663515567779541,175,37,80,944.0,944.0,928.0,960.0,944.0,960.0,944.0,960.0,944.0,928.0,960.0,992.0,944.0,928.0,928.0,976.
0,0.22813868522644043,175,38,80,944.0,928.0,960.0,928.0,944.0,960.0,928.0,928.0,976.0,944.0,928.0,944.0,944.0,960.0,1024.0,928.
0,0.2776522636413574,175,39,80,976.0,928.0,928.0,944.0,944.0,944.0,944.0,944.0,944.0,944.0,944.0,976.0,944.0,960.0,928.0,928.
0,0.3305180072784424,175,40,80,928.0,928.0,944.0,960.0,960.0,976.0,960.0,944.0,1072.0,928.0,928.0,944.0,944.0,944.0,944.0,928.
0,0.39835500717163086,175,41,80,944.0,928.0,944.0,944.0,960.0,928.0,944.0,976.0,928.0,960.0,944.0,944.0,928.0,976.0,944.0,928.
0,0.46762990951538086,175,42,80,480.0,18660.0,480.0,4673.0,464.0,464.0,464.0,448.0,480.0,18692.0,544.0,496.0,464.0,480.0,480.0,512.
0,0.5411641597747803,175,43,80,928.0,864.0,928.0,944.0,912.0,944.0,928.0,944.0,944.0,928.0,928.0,928.0,944.0,944.0,912.0,944.
0,0.6019587516784668,175,44,80,528.0,18660.0,512.0,6929.0,480.0,640.0,512.0,464.0,480.0,18852.0,496.0,6897.0,496.0,480.0,464.0,512.
0,0.686532735824585,175,45,80,512.0,20116.0,512.0,480.0,640.0,480.0,480.0,528.0,480.0,20388.0,496.0,464.0,480.0,384.0,496.0,592.
0,0.7815492153167725,175,46,80,496.0,22069.0,480.0,496.0,480.0,352.0,464.0,576.0,480.0,22037.0,496.0,448.0,512.0,480.0,496.0,480.
0,0.8431479930877686,175,47,80,560.0,22485.0,560.0,480.0,512.0,480.0,528.0,544.0,544.0,22549.0,480.0,528.0,480.0,576.0,480.0,560.
0,0.9055845737457275,175,48,80,528.0,20533.0,512.0,560.0,512.0,512.0,544.0,464.0,512.0,20436.0,480.0,464.0,464.0,416.0,464.0,480.
0,0.9899654388427734,175,49,80,576.0,21685.0,464.0,480.0,480.0,528.0,560.0,464.0,496.0,21605.0,528.0,480.0,480.0,576.0,496.0,496.
0,1.0678884983062744,175,50,80,544.0,21733.0,576.0,528.0,480.0,496.0,464.0,512.0,464.0,21733.0,560.0,544.0,512.0,544.0,512.0,512.
