run,timestep,servo1,servo2,servo3,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p1
0,0.01163482666015625,170,10,75,1744.0,560.0,560.0,560.0,544.0,544.0,544.0,65535.0,13267.0,560.0,528.0,576.0,10434.0,12258.0,560.0,65375.
0,0.0683293342590332,170,11,75,1888.0,544.0,544.0,544.0,544.0,560.0,528.0,65487.0,13347.0,560.0,528.0,560.0,11042.0,544.0,560.0,528.
0,0.14179444313049316,170,12,75,1936.0,528.0,496.0,480.0,528.0,528.0,544.0,65535.0,13459.0,592.0,544.0,528.0,10994.0,528.0,544.0,544.
0,0.20429444313049316,170,13,75,1824.0,544.0,528.0,544.0,528.0,544.0,544.0,65535.0,13123.0,544.0,528.0,544.0,10322.0,528.0,544.0,560.
0,0.262559175491333,170,14,75,1840.0,560.0,544.0,528.0,544.0,560.0,544.0,65535.0,12883.0,560.0,528.0,544.0,10898.0,528.0,544.0,65407.
0,0.31247377395629883,170,15,75,1792.0,528.0,544.0,544.0,576.0,576.0,576.0,65535.0,13267.0,560.0,576.0,560.0,10930.0,512.0,512.0,65535.
0,0.3696141242980957,170,16,75,1872.0,544.0,544.0,560.0,544.0,592.0,576.0,65535.0,13251.0,560.0,560.0,576.0,11090.0,544.0,544.0,65471.
0,0.42737603187561035,170,17,75,1856.0,528.0,544.0,560.0,528.0,560.0,544.0,65535.0,13139.0,544.0,528.0,544.0,10882.0,528.0,592.0,65503.
0,0.5073847770690918,170,18,75,1888.0,560.0,560.0,592.0,576.0,560.0,560.0,65535.0,13363.0,576.0,560.0,576.0,10706.0,544.0,576.0,65487.
0,0.5676126480102539,170,19,75,1888.0,576.0,576.0,576.0,576.0,576.0,576.0,64751.0,12659.0,544.0,592.0,544.0,10466.0,544.0,544.0,65503.
0,0.6437225341796875,170,20,75,1808.0,560.0,544.0,528.0,528.0,560.0,544.0,65535.0,13827.0,592.0,560.0,544.0,10658.0,560.0,576.0,65503.
0,0.7081067562103271,170,21,75,1840.0,544.0,576.0,560.0,560.0,560.0,576.0,65535.0,13379.0,480.0,528.0,544.0,10770.0,528.0,560.0,65487.
0,0.764207124710083,170,22,75,1888.0,560.0,592.0,592.0,560.0,560.0,560.0,65535.0,13763.0,528.0,560.0,560.0,10658.0,560.0,560.0,65487.
0,0.8374361991882324,170,23,75,1888.0,560.0,560.0,576.0,576.0,560.0,576.0,65535.0,13763.0,560.0,560.0,560.0,10658.0,576.0,560.0,65519.
0,0.891970157623291,170,24,75,1888.0,560.0,464.0,480.0,528.0,592.0,544.0,65535.0,13987.0,608.0,560.0,560.0,10610.0,560.0,560.0,65503.
0,0.9739036560058594,170,25,75,1904.0,576.0,592.0,576.0,544.0,544.0,560.0,65535.0,13987.0,576.0,560.0,560.0,10930.0,544.0,560.0,65503.
0,1.034008264541626,170,26,75,1904.0,576.0,528.0,544.0,560.0,592.0,592.0,65535.0,14003.0,576.0,544.0,560.0,10786.0,8258.0,576.0,65503.
0,1.1122303009033203,170,27,75,1792.0,592.0,560.0,624.0,560.0,592.0,560.0,65535.0,14019.0,560.0,560.0,576.0,10930.0,10370.0,576.0,65503.
0,1.1680386066436768,170,28,75,1728.0,576.0,592.0,576.0,560.0,560.0,576.0,65535.0,14403.0,592.0,576.0,560.0,10466.0,11090.0,560.0,65519.
0,1.231546401977539,170,29,75,1744.0,560.0,576.0,592.0,576.0,560.0,560.0,65535.0,14275.0,576.0,560.0,560.0,10418.0,18740.0,480.0,64431.
0,1.319610834121704,170,30,75,1728.0,592.0,576.0,608.0,576.0,560.0,560.0,65535.0,14019.0,576.0,480.0,496.0,10258.0,21029.0,608.0,65439.
0,1.3997879028320312,170,31,75,2016.0,592.0,576.0,576.0,544.0,544.0,560.0,65535.0,13507.0,576.0,560.0,560.0,10146.0,17556.0,576.0,65487.
0,1.4708738327026367,170,32,75,1856.0,576.0,560.0,560.0,560.0,576.0,560.0,65535.0,13411.0,560.0,480.0,496.0,9970.0,18276.0,544.0,65535.
0,1.5329198837280273,170,33,75,1920.0,560.0,592.0,480.0,464.0,528.0,544.0,65535.0,13091.0,544.0,608.0,544.0,9890.0,17956.0,576.0,65487.
0,1.5902760028839111,170,34,75,1920.0,592.0,576.0,576.0,560.0,560.0,496.0,65071.0,11858.0,560.0,544.0,1120.0,7729.0,10130.0,560.0,65487.
0,1.6525523662567139,170,35,75,1824.0,480.0,640.0,544.0,544.0,560.0,544.0,65535.0,12595.0,544.0,736.0,1328.0,7825.0,8930.0,560.0,65503.
0,1.7106409072875977,170,36,75,1872.0,592.0,592.0,576.0,544.0,576.0,560.0,65535.0,13203.0,576.0,560.0,2240.0,8001.0,576.0,448.0,65311.
0,1.7860465049743652,170,37,75,1840.0,576.0,576.0,576.0,560.0,480.0,544.0,64527.0,12931.0,720.0,544.0,2992.0,7921.0,4945.0,608.0,65503.
0,1.8475074768066406,170,38,75,1792.0,496.0,544.0,512.0,560.0,560.0,544.0,65535.0,12931.0,576.0,528.0,1456.0,8017.0,576.0,576.0,65487.
0,1.909510612487793,170,39,75,1856.0,576.0,560.0,576.0,560.0,560.0,560.0,65535.0,12931.0,576.0,560.0,1296.0,7585.0,560.0,544.0,65535.
0,1.9869327545166016,170,40,75,1856.0,560.0,576.0,592.0,576.0,560.0,576.0,65535.0,12643.0,544.0,576.0,2144.0,8161.0,544.0,560.0,65503.
0,2.063697338104248,170,41,75,1824.0,544.0,544.0,560.0,560.0,544.0,544.0,65535.0,13315.0,576.0,560.0,1488.0,8177.0,576.0,576.0,65487.
0,2.120265483856201,170,42,75,1840.0,560.0,592.0,560.0,560.0,544.0,544.0,65535.0,12739.0,544.0,576.0,1504.0,8177.0,8482.0,576.0,65487.
0,2.1809937953948975,170,43,75,1760.0,528.0,544.0,544.0,544.0,544.0,560.0,65535.0,12707.0,768.0,576.0,1472.0,8177.0,10290.0,576.0,65519.
0,2.2380712032318115,170,44,75,1776.0,592.0,592.0,480.0,528.0,576.0,544.0,65535.0,12707.0,576.0,592.0,1536.0,8177.0,8674.0,592.0,65503.
0,2.299262762069702,170,45,75,1792.0,544.0,560.0,576.0,544.0,544.0,544.0,65535.0,12851.0,480.0,544.0,1472.0,8177.0,9778.0,592.0,65487.
0,2.360776901245117,170,46,75,1792.0,544.0,560.0,560.0,544.0,544.0,544.0,65535.0,13107.0,576.0,576.0,1552.0,8258.0,8866.0,560.0,65487.
0,2.4216177463531494,170,47,75,1808.0,576.0,576.0,592.0,576.0,560.0,576.0,65535.0,13331.0,576.0,576.0,1808.0,8210.0,9106.0,576.0,65503.
0,2.4795541763305664,170,48,75,1840.0,528.0,560.0,560.0,544.0,800.0,576.0,65535.0,13539.0,576.0,576.0,3408.0,8290.0,8658.0,592.0,65519.
0,2.5386688709259033,170,49,75,1840.0,560.0,640.0,576.0,576.0,576.0,576.0,65535.0,13539.0,560.0,576.0,2976.0,8242.0,8578.0,560.0,65503.
0,2.6021647453308105,170,50,75,1872.0,576.0,576.0,592.0,560.0,560.0,576.0,65519.0,13603.0,592.0,560.0,2976.0,8210.0,10754.0,560.0,65519.
0,2.660681962966919,170,51,75,1856.0,560.0,592.0,560.0,576.0,560.0,576.0,65535.0,13443.0,576.0,544.0,1536.0,8177.0,10962.0,560.0,65487.
0,2.7150511741638184,170,52,75,1872.0,592.0,576.0,560.0,560.0,560.0,560.0,65535.0,13667.0,576.0,560.0,1520.0,8177.0,11666.0,576.0,65519.
0,2.779865264892578,170,53,75,1968.0,592.0,560.0,560.0,560.0,576.0,560.0,65535.0,13715.0,560.0,560.0,672.0,8177.0,11570.0,576.0,64255.
0,2.8338122367858887,170,54,75,1888.0,576.0,608.0,576.0,560.0,576.0,576.0,65535.0,13955.0,544.0,560.0,576.0,8161.0,11842.0,592.0,65503.
0,2.9040939807891846,170,55,75,1936.0,576.0,576.0,512.0,544.0,544.0,528.0,65535.0,13795.0,576.0,592.0,560.0,9746.0,12210.0,560.0,65503.
0,2.9618124961853027,170,56,75,1856.0,560.0,576.0,576.0,560.0,576.0,576.0,65535.0,13619.0,576.0,560.0,544.0,9890.0,13651.0,560.0,65487.
0,3.03555965423584,170,57,75,1904.0,560.0,576.0,560.0,496.0,528.0,544.0,65535.0,13363.0,608.0,576.0,576.0,9634.0,11618.0,576.0,65519.
0,3.114549398422241,170,58,75,1888.0,576.0,592.0,576.0,560.0,560.0,576.0,65535.0,13395.0,576.0,560.0,464.0,9874.0,10818.0,544.0,65535.
0,3.1770498752593994,170,59,75,1904.0,576.0,576.0,576.0,576.0,560.0,496.0,65343.0,13091.0,544.0,544.0,544.0,10514.0,11266.0,560.0,65487.
0,3.2422502040863037,170,60,75,1872.0,560.0,544.0,592.0,560.0,576.0,560.0,65535.0,13715.0,560.0,560.0,576.0,9826.0,11090.0,576.0,65503.
0,3.304793357849121,170,61,75,1920.0,560.0,576.0,560.0,560.0,576.0,576.0,65535.0,13667.0,560.0,576.0,576.0,9698.0,8177.0,544.0,65519.
0,3.388349771499634,170,62,75,1904.0,576.0,576.0,576.0,560.0,560.0,560.0,65535.0,13635.0,592.0,560.0,560.0,9730.0,7601.0,544.0,65535.
0,3.446434736251831,170,63,75,1920.0,576.0,576.0,560.0,576.0,576.0,592.0,65535.0,13539.0,576.0,576.0,576.0,9954.0,7569.0,464.0,65359.
0,3.512362241744995,170,64,75,1920.0,592.0,512.0,544.0,544.0,528.0,560.0,65535.0,13747.0,576.0,576.0,560.0,10114.0,7585.0,560.0,65503.
0,3.5670926570892334,170,65,75,1904.0,560.0,560.0,560.0,560.0,560.0,592.0,65535.0,13299.0,528.0,544.0,544.0,10658.0,7633.0,592.0,65455.
0,3.6295032501220703,170,66,75,1920.0,560.0,576.0,544.0,528.0,544.0,560.0,65535.0,13235.0,560.0,544.0,544.0,10242.0,7729.0,592.0,65439.
