run,timestep,servo1,servo2,servo3,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p1
0,0.00835108757019043,155,10,70,17124.0,17252.0,528.0,19556.0,16099.0,544.0,4545.0,65391.0,17076.0,16852.0,512.0,20132.0,16131.0,528.0,4945.0,65535.
0,0.07134699821472168,155,11,70,20933.0,13907.0,544.0,16355.0,26790.0,544.0,1920.0,65535.0,22053.0,14307.0,544.0,16227.0,26246.0,544.0,6529.0,65391.
0,0.14884138107299805,155,12,70,23477.0,14275.0,560.0,16163.0,25478.0,7345.0,6561.0,65535.0,21429.0,13539.0,544.0,16083.0,23829.0,6913.0,6529.0,65535.
0,0.22684931755065918,155,13,70,19620.0,14611.0,528.0,16724.0,19044.0,8177.0,12515.0,65487.0,20052.0,14787.0,544.0,16740.0,19012.0,8177.0,6257.0,65359.
0,0.2897665500640869,155,14,70,22165.0,15379.0,576.0,16820.0,19364.0,8177.0,5697.0,65199.0,22053.0,15427.0,544.0,16852.0,19412.0,8242.0,6305.0,64591.
0,0.35222530364990234,155,15,70,22149.0,15555.0,576.0,17716.0,21669.0,8674.0,5953.0,65391.0,22565.0,15667.0,576.0,16548.0,22309.0,8177.0,5217.0,65455.
0,0.41449499130249023,155,16,70,21701.0,15395.0,544.0,17684.0,20404.0,6865.0,2208.0,61294.0,21429.0,15091.0,528.0,17316.0,19236.0,7105.0,2192.0,61102.
0,0.47535204887390137,155,17,70,23717.0,14899.0,544.0,17508.0,23317.0,7969.0,1552.0,63791.0,27526.0,15075.0,528.0,18228.0,21141.0,7361.0,528.0,61166.
0,0.5533804893493652,155,18,70,20805.0,15011.0,544.0,17188.0,18132.0,3280.0,2240.0,65423.0,21253.0,15251.0,560.0,17364.0,17940.0,4225.0,2320.0,65375.
0,0.6304111480712891,155,19,70,17972.0,15267.0,576.0,17716.0,15027.0,3728.0,2464.0,65279.0,17796.0,14979.0,544.0,17252.0,15939.0,3872.0,2480.0,65535.
0,0.6936404705047607,155,20,70,22293.0,14627.0,560.0,17300.0,20372.0,1440.0,656.0,65535.0,22597.0,14739.0,560.0,17636.0,20372.0,1680.0,640.0,65535.
0,0.7559387683868408,155,21,70,24165.0,14019.0,544.0,20292.0,25382.0,6817.0,32295.0,65519.0,25046.0,14291.0,592.0,18260.0,25222.0,6497.0,1904.0,65503.
0,0.8183615207672119,155,22,70,25574.0,14995.0,816.0,19844.0,25478.0,7777.0,3392.0,65519.0,25654.0,16179.0,576.0,19172.0,25222.0,8001.0,3280.0,65519.
0,0.880662202835083,155,23,70,27126.0,14515.0,576.0,18644.0,28230.0,7553.0,992.0,65503.0,28134.0,15267.0,528.0,16692.0,29111.0,7649.0,800.0,64335.
0,0.9415683746337891,155,24,70,32263.0,14595.0,544.0,17492.0,30375.0,1360.0,8177.0,65503.0,32551.0,14755.0,560.0,16307.0,30647.0,1440.0,8514.0,65519.
0,1.0214483737945557,155,25,70,34376.0,14947.0,576.0,17748.0,32343.0,6945.0,15411.0,65535.0,35272.0,14467.0,528.0,16900.0,33256.0,7073.0,14995.0,65535.
0,1.0856645107269287,155,26,70,35464.0,13955.0,544.0,16259.0,34088.0,6449.0,11602.0,65423.0,37193.0,14147.0,544.0,16852.0,34264.0,6929.0,15363.0,65503.
0,1.1477363109588623,155,27,70,37145.0,14627.0,7233.0,16900.0,40169.0,6689.0,15043.0,65503.0,37401.0,13395.0,7697.0,16820.0,40553.0,7585.0,13267.0,65503.
0,1.2273507118225098,155,28,70,37529.0,13187.0,13587.0,16388.0,41146.0,576.0,10258.0,65519.0,37209.0,12755.0,14419.0,16291.0,41194.0,592.0,12563.0,65071.
0,1.3064334392547607,155,29,70,35880.0,15539.0,14547.0,17204.0,41290.0,592.0,8658.0,64319.0,34696.0,15571.0,15971.0,16932.0,41194.0,592.0,9826.0,65519.
