run,timestep,servo1,servo2,servo3,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p1
0,0.008563041687011719,155,10,70,24101.0,18180.0,544.0,19124.0,47803.0,560.0,6977.0,65535.0,22789.0,18004.0,560.0,18084.0,46395.0,592.0,6561.0,65535.
0,0.07041716575622559,155,11,70,25654.0,16804.0,576.0,19444.0,47259.0,560.0,5905.0,65535.0,26374.0,16388.0,544.0,18740.0,45387.0,608.0,5633.0,65535.
0,0.13421940803527832,155,12,70,28134.0,19220.0,544.0,19268.0,46011.0,592.0,6881.0,65535.0,27078.0,17732.0,592.0,18452.0,45899.0,608.0,6961.0,65535.
0,0.1971752643585205,155,13,70,27046.0,15475.0,592.0,18132.0,45915.0,592.0,6497.0,65535.0,28951.0,17236.0,560.0,19316.0,48091.0,560.0,6673.0,65535.
0,0.2593405246734619,155,14,70,27478.0,15187.0,576.0,18452.0,49836.0,560.0,8194.0,65535.0,28454.0,16083.0,560.0,18580.0,48667.0,576.0,7937.0,65535.
0,0.321990966796875,155,15,70,31799.0,16772.0,560.0,19156.0,50796.0,576.0,7441.0,65535.0,29511.0,16051.0,560.0,18372.0,48283.0,576.0,7297.0,65535.
0,0.38344287872314453,155,16,70,28582.0,17620.0,560.0,18084.0,46811.0,576.0,6145.0,65535.0,27478.0,17252.0,576.0,17988.0,47051.0,528.0,6721.0,65535.
0,0.475877046585083,155,17,70,28294.0,18068.0,544.0,20068.0,52908.0,576.0,7841.0,65535.0,30119.0,17572.0,528.0,18724.0,48859.0,560.0,7345.0,65535.
0,0.5389468669891357,155,18,70,30183.0,17764.0,2080.0,19300.0,51692.0,560.0,6497.0,65535.0,28807.0,17204.0,4225.0,18628.0,49836.0,576.0,6561.0,65535.
0,0.6020896434783936,155,19,70,26470.0,15875.0,10674.0,17700.0,47483.0,528.0,8226.0,65535.0,28486.0,17076.0,11714.0,19204.0,49948.0,560.0,8546.0,65535.
0,0.6629376411437988,155,20,70,26502.0,16083.0,16051.0,18244.0,49083.0,688.0,11010.0,65535.0,25526.0,15395.0,15427.0,17508.0,47163.0,592.0,9474.0,65535.
0,0.7241189479827881,155,21,70,23877.0,15811.0,20468.0,14227.0,47083.0,592.0,10978.0,65535.0,25574.0,17796.0,23349.0,16083.0,51308.0,576.0,11330.0,65535.
0,0.8021588325500488,155,22,70,25702.0,16099.0,20837.0,14547.0,47051.0,576.0,10754.0,65535.0,24838.0,15971.0,21093.0,16580.0,50924.0,560.0,11906.0,65535.
0,0.8640282154083252,155,23,70,26038.0,15491.0,23173.0,15683.0,47083.0,592.0,13747.0,65535.0,26646.0,16708.0,25670.0,17764.0,51308.0,576.0,14851.0,65535.
0,0.9267683029174805,155,24,70,26326.0,16724.0,25350.0,17364.0,51932.0,576.0,14563.0,65535.0,28118.0,16948.0,24133.0,16099.0,49083.0,560.0,13923.0,65535.
0,0.9881453514099121,155,25,70,28823.0,16468.0,25510.0,14403.0,51036.0,560.0,14211.0,65535.0,27350.0,16099.0,24662.0,15251.0,49035.0,608.0,13107.0,65535.
0,1.050229549407959,155,26,70,27542.0,16275.0,25878.0,17204.0,49692.0,560.0,22453.0,65535.0,26550.0,15139.0,24133.0,15939.0,47019.0,592.0,21333.0,65535.
0,1.1125683784484863,155,27,70,27222.0,17492.0,25702.0,17188.0,51116.0,560.0,21909.0,65535.0,25126.0,16436.0,24614.0,16516.0,49035.0,560.0,21781.0,65535.
0,1.1917142868041992,155,28,70,23957.0,16532.0,23717.0,15715.0,46827.0,592.0,20917.0,65535.0,24037.0,15811.0,24790.0,16996.0,52764.0,560.0,22789.0,65535.
0,1.2695837020874023,155,29,70,23989.0,15651.0,25942.0,17460.0,52876.0,560.0,21925.0,65535.0,25574.0,16339.0,25142.0,16307.0,48923.0,576.0,21397.0,65535.
0,1.3462028503417969,155,30,70,26566.0,16307.0,26054.0,16692.0,48827.0,560.0,22373.0,65535.0,24598.0,15267.0,24229.0,15907.0,46811.0,592.0,21077.0,65535.
0,1.4083387851715088,155,31,70,25430.0,15779.0,24517.0,15715.0,46939.0,608.0,21557.0,65535.0,24565.0,15123.0,24213.0,15795.0,46859.0,592.0,21637.0,65535.
0,1.470470666885376,155,32,70,24598.0,15395.0,24469.0,15539.0,46859.0,592.0,21989.0,65535.0,24598.0,16339.0,26390.0,16932.0,50956.0,592.0,23509.0,65535.
0,1.5323116779327393,155,33,70,25174.0,15331.0,24485.0,16404.0,49852.0,560.0,24037.0,65535.0,26326.0,16339.0,26438.0,17732.0,50636.0,1664.0,23061.0,65535.
0,1.5941638946533203,155,34,70,26134.0,16708.0,26342.0,16788.0,48843.0,640.0,23205.0,65535.0,25142.0,15971.0,25814.0,16051.0,46859.0,592.0,22693.0,65535.
0,1.670900821685791,155,35,70,24565.0,15507.0,27430.0,17748.0,51100.0,560.0,24165.0,65535.0,26598.0,16291.0,27734.0,16948.0,48843.0,768.0,23445.0,65535.
0,1.7344436645507812,155,36,70,25606.0,15267.0,26630.0,16452.0,46747.0,592.0,22565.0,65535.0,24533.0,15139.0,25670.0,16436.0,46683.0,576.0,22629.0,65535.
0,1.8129980564117432,155,37,70,24710.0,15203.0,25494.0,16307.0,47387.0,544.0,24485.0,65535.0,26502.0,16211.0,27750.0,17732.0,50524.0,560.0,24133.0,65535.
0,1.8907098770141602,155,38,70,27398.0,16051.0,27622.0,17572.0,50652.0,592.0,23493.0,65535.0,26214.0,15587.0,26566.0,16996.0,46763.0,656.0,22325.0,65535.
