time,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15
0.00201416,29927,28422,20372,21333,18964,18708,23445,65535,35560,25686,34632,10962,28230,21045,27558,65535
0.03302,29911,28294,17220,24165,19332,8866,21269,65535,34584,24021,33320,11810,27494,23189,26534,65535
0.0629883,25926,27478,18100,16548,17124,9698,17252,65535,29575,21925,28839,11346,26038,22309,24069,65535
0.0930176,24565,23621,16019,17028,14979,12803,16564,65535,26838,22565,24710,7393,17220,22357,21541,65535
0.122986,18948,23573,15459,20132,11154,5073,15635,65535,19908,22373,19380,6305,17956,13155,22197,65535
0.156006,16724,28182,20789,25366,13779,6961,16388,65535,18116,19268,17940,5713,22149,9282,28086,65535
0.187012,15699,28166,16051,28422,12547,18468,15923,65535,17540,22245,17588,8177,23285,9890,27862,65535
0.218018,9522,32711,19044,31927,9234,8370,19012,65535,21893,21653,14563,8626,25750,1408,27078,65535
0.247986,12018,27350,17588,25814,4433,8370,18500,65535,24966,12531,18132,9890,28438,15187,21829,1280
0.278015,2768,25526,14355,20276,1312,8194,18308,65535,22373,12162,18820,8242,30567,19252,17988,65455
0.30896,9778,23253,16804,13459,8578,7313,18660,65535,25318,8898,19556,7857,29159,21157,23861,65231
0.338989,13587,24565,20244,15619,14899,15395,16516,65535,26246,5377,16996,9490,19236,20869,19028,65535
0.377014,9362,24165,11474,16436,14259,2688,17828,65535,26070,12515,13379,10306,30215,18996,24646,65535
0.406982,13075,24277,14179,15203,8177,2560,19460,65535,25110,12499,13507,10322,20196,20901,23317,65535
0.435974,16916,25286,16019,17572,11906,19972,19732,65535,26822,6865,13747,11442,26822,17156,23237,65535
0.468018,11538,27686,15027,17572,8177,3248,20228,65535,23109,12739,13411,8113,27718,16788,25558,65535
0.498962,12307,28454,18372,18628,5057,2464,19716,65535,27366,16227,13587,9618,30023,10274,26390,65535
0.528992,11554,27334,16163,19028,11490,3920,17508,65535,28358,8177,13283,9570,25430,15859,28470,65423
0.55896,13395,30183,16852,30519,5313,8370,17060,65535,21205,13779,13283,7089,30087,16852,24630,65535
0.589966,13715,30471,13987,20228,1408,3520,15667,65535,19284,14627,13411,6513,30791,18484,22997,65279
0.620972,14547,27702,13235,17412,1424,2672,16404,65535,20805,16163,13587,5985,26118,17028,23093,65199
0.651001,14483,27030,14851,16339,1296,3392,17124,65535,22309,17060,13539,5921,25894,17108,21221,65519
0.682007,12803,26886,7649,14355,1152,3248,12274,65535,21957,17364,1200,992,18996,16772,15379,65519
0.710999,10306,23365,3776,8226,896,1024,4913,65535,16708,12819,448,384,17588,13619,8386,65423
0.740967,1280,17284,4097,4481,2800,1776,352,65535,16980,15043,12291,368,15683,15331,9346,65535
0.771973,2320,6577,2112,448,352,352,352,65535,9410,352,14515,352,15315,12627,8498,65535
0.802979,2816,432,4000,384,352,352,352,65535,11698,352,14227,352,15091,6977,3216,65535
0.83197,4449,352,3824,2544,352,336,352,65535,6065,384,14355,352,17492,352,1184,65535
0.862,1488,352,4417,2256,352,352,352,65535,6737,336,14467,352,15955,352,336,65535
0.891968,592,352,5505,896,352,352,352,65535,8706,352,13859,352,17124,352,352,65535
0.921997,416,352,5729,352,352,352,352,65535,7217,352,14243,352,16532,336,352,65535
0.953003,640,352,6049,1184,352,336,352,65535,8578,352,15843,352,17108,352,352,65535
0.982971,864,352,6625,1776,336,352,352,65535,4577,336,14707,352,17044,352,336,65535
1.01398,560,336,6081,896,1408,352,336,65535,3872,352,15827,352,17284,352,352,65535
1.04297,368,352,7169,1248,2304,352,352,65535,368,352,16003,352,17108,352,336,65535
1.073,368,352,6305,672,3328,352,352,65535,6353,352,16163,352,18868,352,352,65535
1.10199,384,352,3056,992,2752,336,352,65535,384,368,14643,352,17092,336,352,65535
1.13397,352,352,6689,720,3248,352,352,65535,5329,352,15411,352,17828,352,352,65503
1.164,4929,352,6449,1184,3808,352,352,65535,6881,352,14499,352,17428,352,352,65535
1.19299,5201,352,6225,448,4689,336,352,65535,5313,336,15107,352,17252,352,352,65535
1.224,2192,352,6993,1712,4513,352,336,65535,2976,352,15795,352,17476,352,352,65535
1.25299,2000,352,5473,832,4625,352,352,65535,3216,352,14243,352,17764,352,352,65535
1.28302,6897,352,4401,400,12787,1280,352,65535,24998,928,22085,400,24726,368,2880,65535
1.31396,15427,1952,9858,608,7393,368,4817,65535,32311,1232,22533,352,27958,2944,11778,65535
1.34497,18260,7457,13155,7537,11826,3520,5569,65535,33672,7985,23093,352,29111,3376,15763,65535
1.375,21845,7617,14387,9506,13875,2912,15747,65535,34264,12979,24854,1984,29831,5697,18516,65535
1.40399,21541,448,12883,11426,10258,4113,13731,65535,32840,8834,24421,6289,28198,11762,12691,65535
1.43396,22661,4945,10834,8450,8177,592,16227,65535,33368,13651,25542,5985,27910,13155,13523,65535
1.46497,22197,8994,11298,9938,7505,1520,17940,65535,30135,11522,26214,7009,28951,21829,17220,65535
1.49597,22437,17172,11650,13379,13059,6897,24117,65535,32231,16035,24309,6657,30007,20821,17316,65535
1.526,21861,19732,11970,12835,14195,1840,19732,65535,31447,17924,25414,5777,31639,22645,25638,65535
1.55701,18116,20709,12323,12451,7985,2944,23829,65535,30951,14979,23445,4545,31911,23237,23445,65535
1.58698,19796,21029,14915,12899,8642,4433,14211,65535,32023,14403,19188,2944,31271,11330,20885,65535
1.617,17796,24005,11522,9474,8530,768,11874,65535,29799,12242,18484,1408,28438,5201,19540,65535
1.64697,17700,9842,9186,11362,8177,656,11762,65535,29863,11618,18084,352,29351,6929,18500,65535
1.67798,16355,11682,13283,13747,9410,2736,13379,65535,27670,8850,19252,352,30583,8930,16932,65535
1.70801,15651,14931,11650,15843,8177,4913,11554,65535,25670,14211,22101,384,30919,10658,19844,65535
