time,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15
0.00100708,352,352,4353,2432,7297,352,352,65535,5585,352,16019,352,20757,400,352,65535
0.0320129,352,352,3968,2448,7265,352,352,65535,5841,352,15939,336,20853,592,336,65535
0.0620117,384,352,4032,2480,7313,352,352,65535,6113,352,15907,352,20917,560,352,65535
0.0920105,368,352,3888,2480,7489,352,352,65535,6417,352,15859,352,20869,464,336,65535
0.122009,384,352,4225,2496,7393,352,352,65535,6273,352,15699,352,20837,592,352,65535
0.152008,384,352,4401,2384,7489,352,336,65535,6369,336,15827,352,20933,608,352,65535
0.192993,368,352,3232,2448,7441,352,352,65535,6225,352,15939,352,20837,544,336,65535
0.222992,384,352,3472,2400,7393,352,336,65535,6257,352,15939,352,20885,592,352,65535
0.252991,400,352,3424,2432,7345,352,352,65535,6193,352,16051,352,20869,672,352,65535
0.283997,384,352,3648,2448,7441,352,336,65535,6273,352,15939,352,20821,608,352,65535
0.312988,400,352,3536,2464,7633,352,336,65535,6081,352,16051,352,20757,560,352,65535
0.343018,384,352,3216,2448,7441,352,352,65535,6273,352,16035,352,20773,480,352,65535
0.375,400,352,3616,2464,7521,352,352,65535,6305,352,16083,352,20837,464,352,65535
0.403992,400,352,3584,2464,7473,352,352,65535,6097,336,16179,352,20837,432,352,65535
0.43399,400,352,3888,2480,7457,352,352,65535,6321,352,16179,352,20869,512,336,65535
0.463989,416,352,3536,2464,7601,352,352,65535,6337,352,15923,352,20949,560,352,65535
0.494019,384,352,3376,2480,7569,352,352,65535,6161,352,16083,352,20837,528,352,65535
0.524017,400,352,3632,2512,7553,336,352,65535,7105,352,15971,352,20869,528,352,65535
0.554016,400,352,3600,2432,7233,352,352,65535,6721,352,16019,352,20821,464,336,65535
0.584015,400,352,3472,2448,7313,352,352,65535,6737,352,16067,368,20885,448,352,65535
0.61499,384,352,3504,2464,6753,352,352,65535,7281,352,16035,352,20805,560,352,384
0.644989,384,352,3680,2464,7169,352,352,65535,7329,352,16099,352,20869,528,352,65535
0.674011,400,352,3168,2496,7185,352,352,65535,6961,352,16211,352,20933,512,352,65535
0.705017,384,352,3264,2480,6929,352,336,65535,7057,352,16099,352,21029,576,336,65087
0.735016,400,352,3456,2464,7233,352,352,65535,7313,352,16083,352,21013,480,352,65535
0.765015,400,352,3344,2480,7489,352,336,65535,7153,336,16147,352,21077,544,336,65247
0.795013,384,352,3408,2480,7441,352,352,65535,7169,352,16035,352,21141,512,352,65535
0.825989,368,352,3488,2480,7521,352,352,65535,7121,352,16003,352,21077,464,352,65535
0.855011,384,352,3408,2528,7489,352,352,65535,6497,352,15907,352,21173,448,352,65535
0.88501,384,352,3136,2560,7441,352,352,65535,6705,352,16035,352,21029,416,352,65503
0.916016,384,336,3360,2576,6961,352,352,65535,6689,352,15955,352,20981,432,352,65119
0.946014,352,352,3472,2608,7313,336,336,65535,6929,352,16019,352,20949,464,352,65535
0.976013,384,352,3296,2528,7265,352,352,65535,6673,352,16147,352,21029,464,352,65535
1.005,384,336,3408,2576,7297,352,352,65535,6721,352,16163,352,21189,448,352,65535
1.03601,400,352,3152,2608,7297,352,352,65535,6657,352,16083,352,21269,464,352,65535
1.06601,416,352,3296,2752,7441,336,352,65535,6577,352,16323,352,21253,496,352,65535
1.09601,384,352,3264,2592,7425,352,352,65535,6977,352,16452,352,21253,400,352,65535
1.12601,400,352,3200,2560,7553,352,352,65535,6961,352,16291,368,21237,400,336,65535
1.15701,384,352,3392,2576,7585,352,352,65535,6961,352,16259,352,21221,416,352,65535
1.186,400,352,3040,2608,7617,352,352,65535,6705,352,16195,352,21221,416,352,65535
