time,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15
0.000976563,400,384,2576,3456,7169,352,352,65535,3168,352,20629,384,18916,368,368,65439
0.0319824,400,352,2624,3408,7393,368,352,65535,3632,352,20677,384,18772,352,352,65535
0.0629883,400,352,2656,3456,7393,368,352,65535,3600,352,20741,368,18788,384,368,65535
0.09198,400,384,2640,3456,7345,352,352,65535,3616,352,20757,384,18692,384,352,65535
0.122009,384,368,2752,3536,7393,352,352,65535,3584,352,20677,384,18676,384,352,65535
0.151001,400,352,2752,3536,7425,352,368,65535,3920,384,20645,384,18628,384,368,65535
0.184998,384,352,2896,3472,7249,368,352,65535,3760,368,20709,384,18692,384,352,65535
0.214966,384,384,2912,3456,7201,352,352,65535,3840,352,20773,384,18740,384,352,65471
0.252014,400,352,3040,3456,7441,368,352,65535,3376,352,20805,384,18644,384,368,65535
0.281982,400,368,2944,3392,7313,352,352,65535,3072,384,20773,368,18740,352,384,65535
0.312988,400,368,2976,3424,6673,368,352,65535,3152,352,20693,384,18756,368,352,65439
0.34198,400,352,2992,3584,7073,352,352,65535,3456,352,20741,384,18644,384,352,65535
0.372986,400,352,2784,3456,7057,384,352,65535,3696,352,20677,368,18708,384,352,65535
0.403015,400,384,2800,3200,7089,352,352,65535,3408,352,20773,384,18676,384,368,65535
0.43396,384,352,2736,2960,7025,368,352,65535,3680,352,20773,352,18676,368,368,65535
0.463013,384,352,2736,3360,6625,368,352,65535,3488,352,20741,352,18692,352,384,65535
0.492981,400,368,2736,3168,7105,352,352,65535,3232,352,20741,352,18756,384,352,65535
0.52301,384,368,2816,3424,6785,352,352,65535,3296,352,20741,384,18644,384,352,65535
0.554016,384,352,2896,3488,7041,368,352,65535,3376,368,20757,384,18564,384,368,65535
0.583984,400,352,2960,3424,7089,352,352,65535,3232,352,20773,352,18516,384,352,65535
0.612976,400,368,3040,3344,7041,352,352,65535,3392,352,20725,384,18532,384,352,65535
0.643982,400,352,3008,3360,6849,352,352,65535,3280,352,20661,384,18660,384,368,65503
0.672974,384,352,3008,3360,6849,352,352,65535,3376,352,20709,352,18644,384,352,65535
0.703003,384,352,2848,3344,6625,384,352,65535,3472,352,20693,384,18660,384,352,65535
0.734009,400,352,2752,3312,6673,368,352,65535,3424,352,20709,384,18708,384,352,65535
0.765015,384,352,3056,3376,6929,352,352,65535,2880,368,20629,384,18724,352,368,65535
0.794983,400,352,2976,3328,6593,352,352,65535,2720,352,20709,384,18772,384,368,65535
0.823975,384,352,3040,3280,6705,352,352,65535,2768,368,20661,384,18580,384,352,65535
0.85498,416,352,3104,3248,6801,352,368,65535,2688,368,20677,384,18596,384,352,65535
0.883972,400,352,3072,3152,6545,352,352,65535,3248,368,20709,384,18660,352,368,65535
0.914978,400,352,3264,3088,6753,352,352,65535,2912,368,20661,384,18644,368,368,65503
0.945007,400,384,3024,3120,6657,352,352,65535,3520,368,20613,384,18788,384,352,65391
0.976013,400,352,3072,3120,6193,368,352,65535,3616,352,20629,384,18692,384,368,65535
1.005,400,384,3104,2992,6273,368,336,65535,3376,352,20629,384,18644,352,368,65535
1.03497,384,368,3024,2848,6561,352,368,65535,3360,352,20597,384,18532,384,352,65535
1.065,400,352,3040,3104,6465,352,352,65535,3264,368,20709,384,18612,352,368,65535
1.09601,400,368,3040,3120,6737,368,352,65535,3040,384,20661,384,18644,1792,368,65535
1.12598,400,368,3104,3104,6545,368,352,65535,2896,352,20629,384,18708,2016,352,65535
1.15601,400,352,3264,3152,6561,368,352,65535,2816,368,20629,384,18644,1872,352,65535
1.18597,384,368,3200,3168,6737,368,352,65535,2608,368,20661,384,18644,1632,352,65535
1.216,400,352,3248,3136,6689,352,336,65535,3104,352,20741,384,18740,1680,352,65535
1.245,384,352,3360,3392,6609,352,352,65535,2992,352,20581,384,18692,1920,368,65535
1.276,400,368,3456,3408,6801,352,352,65535,3072,352,20533,368,18676,1792,368,65535
1.30701,400,368,3392,3344,6785,384,352,65535,2784,384,20549,368,18644,1792,352,65535
1.33698,400,368,3472,3376,6497,352,352,65535,2976,368,20581,384,18708,2000,352,65391
1.367,384,368,3328,3376,6577,368,352,65535,2832,352,20661,384,18660,2016,352,65535
