Rotation,LED_no,s1,s2,s3,s4,t
0,0,1920.0,1856.0,2080.0,2016.0,0
0,0,1824.0,1856.0,2048.0,2048.0,1
0,0,1792.0,1856.0,2080.0,2048.0,2
0,0,1792.0,1856.0,2080.0,2048.0,3
0,0,1792.0,1856.0,2048.0,2016.0,4
0,0,1760.0,1952.0,2112.0,2048.0,5
0,0,1792.0,1856.0,2080.0,2016.0,6
0,0,1760.0,1856.0,2112.0,1728.0,7
0,0,1824.0,1856.0,2048.0,1888.0,8
0,0,1760.0,1856.0,1824.0,2016.0,9
0,0,1760.0,1856.0,2112.0,2080.0,10
0,0,1792.0,1856.0,2048.0,2048.0,11
0,0,1760.0,1856.0,2080.0,2016.0,12
0,0,1760.0,1856.0,2080.0,2048.0,13
0,0,1760.0,1824.0,2080.0,2016.0,14
0,0,1760.0,1856.0,2048.0,2016.0,15
0,0,1760.0,1856.0,2048.0,2016.0,16
0,0,1760.0,1856.0,2080.0,2048.0,17
0,0,1824.0,1856.0,2080.0,2016.0,18
0,0,1760.0,1856.0,2080.0,2048.0,19
0,0,1760.0,1856.0,2080.0,2016.0,20
0,0,1792.0,1856.0,2048.0,2080.0,21
0,0,1760.0,1888.0,2080.0,2176.0,22
0,0,1760.0,1888.0,2080.0,2048.0,23
0,0,1792.0,1888.0,1984.0,2080.0,24
0,0,1760.0,1856.0,2112.0,2080.0,25
0,0,1760.0,1856.0,2144.0,2016.0,26
0,0,1760.0,1856.0,2080.0,2080.0,27
0,0,1760.0,1952.0,2080.0,2048.0,28
0,0,1792.0,1856.0,2080.0,1984.0,29
0,0,1760.0,2016.0,2048.0,2048.0,30
0,0,1728.0,1888.0,2080.0,2016.0,31
0,0,1760.0,1856.0,2048.0,2016.0,32
0,0,1760.0,1888.0,2080.0,2048.0,33
0,0,5665.0,14627.0,10178.0,6337.0,34
0,0,4897.0,6625.0,5441.0,3040.0,35
0,0,4032.0,5505.0,4257.0,2976.0,36
0,0,3328.0,4289.0,3328.0,2624.0,37
0,0,2720.0,3424.0,3040.0,2240.0,38
0,0,2400.0,3072.0,2560.0,2272.0,39
0,0,2112.0,2528.0,2464.0,2016.0,40
0,0,2112.0,2400.0,2208.0,2016.0,41
0,0,1984.0,2048.0,2208.0,2048.0,42
0,0,1952.0,2016.0,2048.0,1952.0,43
0,0,1856.0,2016.0,2048.0,0.0,44
0,0,3232.0,10690.0,5025.0,5697.0,45
0,0,3616.0,6113.0,4257.0,3680.0,46
0,0,3296.0,4993.0,3616.0,3136.0,47
0,0,10594.0,12579.0,12291.0,12771.0,48
0,0,2400.0,3232.0,2784.0,2400.0,49
0,0,2208.0,2848.0,2400.0,2336.0,50
0,0,2016.0,2464.0,2368.0,2080.0,51
0,0,2016.0,2240.0,2080.0,2144.0,52
0,0,1888.0,2016.0,2112.0,2080.0,53
0,0,0.0,4545.0,1728.0,4961.0,54
0,0,4513.0,7457.0,4929.0,4129.0,55
0,0,1856.0,4032.0,1792.0,3136.0,56
0,0,2080.0,3040.0,2144.0,2624.0,57
0,0,2016.0,2400.0,2080.0,2272.0,58
0,0,1952.0,2240.0,2080.0,2240.0,59
0,0,1888.0,2144.0,2016.0,2080.0,60
0,0,1824.0,1952.0,1984.0,2112.0,61
0,0,1824.0,2080.0,1984.0,2080.0,62
0,0,1760.0,1952.0,2048.0,2080.0,63
0,0,1824.0,1920.0,2080.0,2080.0,64
0,0,1760.0,1920.0,2016.0,2016.0,65
0,0,1760.0,1888.0,2016.0,2016.0,66
0,0,3136.0,14275.0,7745.0,9570.0,67
0,0,3136.0,5953.0,3200.0,4673.0,68
0,0,8194.0,10850.0,10018.0,11554.0,69
0,0,2464.0,3808.0,2592.0,3360.0,70
0,0,2080.0,3008.0,2400.0,2656.0,71
0,0,2112.0,2880.0,2272.0,2752.0,72
0,0,1984.0,2272.0,2176.0,2240.0,73
0,0,1952.0,2240.0,2016.0,2240.0,74
0,0,1856.0,2144.0,2048.0,2080.0,75
0,0,1888.0,1984.0,2112.0,2080.0,76
0,0,1824.0,1632.0,1984.0,1984.0,77
0,0,0.0,6177.0,7649.0,14499.0,78
0,0,2336.0,6113.0,3264.0,5921.0,79
0,0,2592.0,4385.0,3136.0,4385.0,80
0,0,2240.0,3680.0,2464.0,3680.0,81
0,0,2144.0,2848.0,2368.0,2912.0,82
